ocd-division/country:us/state:pa/county:adams/precinct:abbottstown,Adams County Precinct Abbottstown
ocd-division/country:us/state:pa/county:adams/precinct:arendtsville,Adams County Precinct Arendtsville
ocd-division/country:us/state:pa/county:adams/precinct:bendersville,Adams County Precinct Bendersville
ocd-division/country:us/state:pa/county:adams/precinct:berwick,Adams County Precinct Berwick
ocd-division/country:us/state:pa/county:adams/precinct:biglerville,Adams County Precinct Biglerville
ocd-division/country:us/state:pa/county:adams/precinct:bonneauville,Adams County Precinct Bonneauville
ocd-division/country:us/state:pa/county:adams/precinct:butler,Adams County Precinct Butler
ocd-division/country:us/state:pa/county:adams/precinct:carroll_valley_1,Adams County Precinct Carroll Valley 1
ocd-division/country:us/state:pa/county:adams/precinct:carroll_valley_2,Adams County Precinct Carroll Valley 2
ocd-division/country:us/state:pa/county:adams/precinct:conewago_1,Adams County Precinct Conewago 1
ocd-division/country:us/state:pa/county:adams/precinct:conewago_2,Adams County Precinct Conewago 2
ocd-division/country:us/state:pa/county:adams/precinct:cumberland_1,Adams County Precinct Cumberland 1
ocd-division/country:us/state:pa/county:adams/precinct:cumberland_2,Adams County Precinct Cumberland 2
ocd-division/country:us/state:pa/county:adams/precinct:cumberland_3,Adams County Precinct Cumberland 3
ocd-division/country:us/state:pa/county:adams/precinct:cumberland_4,Adams County Precinct Cumberland 4
ocd-division/country:us/state:pa/county:adams/precinct:east_berlin,Adams County Precinct East Berlin
ocd-division/country:us/state:pa/county:adams/precinct:fairfield,Adams County Precinct Fairfield
ocd-division/country:us/state:pa/county:adams/precinct:franklin_1,Adams County Precinct Franklin 1
ocd-division/country:us/state:pa/county:adams/precinct:franklin_2,Adams County Precinct Franklin 2
ocd-division/country:us/state:pa/county:adams/precinct:freedom,Adams County Precinct Freedom
ocd-division/country:us/state:pa/county:adams/precinct:germany,Adams County Precinct Germany
ocd-division/country:us/state:pa/county:adams/precinct:gettysburg_1,Adams County Precinct Gettysburg 1
ocd-division/country:us/state:pa/county:adams/precinct:gettysburg_2,Adams County Precinct Gettysburg 2
ocd-division/country:us/state:pa/county:adams/precinct:gettysburg_3,Adams County Precinct Gettysburg 3
ocd-division/country:us/state:pa/county:adams/precinct:hamilton,Adams County Precinct Hamilton
ocd-division/country:us/state:pa/county:adams/precinct:hamiltonban,Adams County Precinct Hamiltonban
ocd-division/country:us/state:pa/county:adams/precinct:highland,Adams County Precinct Highland
ocd-division/country:us/state:pa/county:adams/precinct:huntington,Adams County Precinct Huntington
ocd-division/country:us/state:pa/county:adams/precinct:latimore,Adams County Precinct Latimore
ocd-division/country:us/state:pa/county:adams/precinct:liberty,Adams County Precinct Liberty
ocd-division/country:us/state:pa/county:adams/precinct:littlestown_1,Adams County Precinct Littlestown 1
ocd-division/country:us/state:pa/county:adams/precinct:littlestown_2,Adams County Precinct Littlestown 2
ocd-division/country:us/state:pa/county:adams/precinct:mcsherrystown_1,Adams County Precinct Mcsherrystown 1
ocd-division/country:us/state:pa/county:adams/precinct:mcsherrystown_2,Adams County Precinct Mcsherrystown 2
ocd-division/country:us/state:pa/county:adams/precinct:menallen,Adams County Precinct Menallen
ocd-division/country:us/state:pa/county:adams/precinct:mt_joy_1,Adams County Precinct Mt Joy 1
ocd-division/country:us/state:pa/county:adams/precinct:mt_joy_2,Adams County Precinct Mt Joy 2
ocd-division/country:us/state:pa/county:adams/precinct:mt_pleasant_1,Adams County Precinct Mt Pleasant 1
ocd-division/country:us/state:pa/county:adams/precinct:mt_pleasant_2,Adams County Precinct Mt Pleasant 2
ocd-division/country:us/state:pa/county:adams/precinct:new_oxford,Adams County Precinct New Oxford
ocd-division/country:us/state:pa/county:adams/precinct:oxford_1,Adams County Precinct Oxford 1
ocd-division/country:us/state:pa/county:adams/precinct:oxford_2,Adams County Precinct Oxford 2
ocd-division/country:us/state:pa/county:adams/precinct:reading_1,Adams County Precinct Reading 1
ocd-division/country:us/state:pa/county:adams/precinct:reading_2,Adams County Precinct Reading 2
ocd-division/country:us/state:pa/county:adams/precinct:straban_1,Adams County Precinct Straban 1
ocd-division/country:us/state:pa/county:adams/precinct:straban_2,Adams County Precinct Straban 2
ocd-division/country:us/state:pa/county:adams/precinct:tyrone,Adams County Precinct Tyrone
ocd-division/country:us/state:pa/county:adams/precinct:union,Adams County Precinct Union
ocd-division/country:us/state:pa/county:adams/precinct:york_springs,Adams County Precinct York Springs
ocd-division/country:us/state:pa/county:allegheny/precinct:aleppo,Allegheny County Precinct Aleppo
ocd-division/country:us/state:pa/county:allegheny/precinct:aspinwall_1,Allegheny County Precinct Aspinwall 1
ocd-division/country:us/state:pa/county:allegheny/precinct:aspinwall_2,Allegheny County Precinct Aspinwall 2
ocd-division/country:us/state:pa/county:allegheny/precinct:aspinwall_3,Allegheny County Precinct Aspinwall 3
ocd-division/country:us/state:pa/county:allegheny/precinct:avalon_1,Allegheny County Precinct Avalon 1
ocd-division/country:us/state:pa/county:allegheny/precinct:avalon_2-1,Allegheny County Precinct Avalon 2-1
ocd-division/country:us/state:pa/county:allegheny/precinct:avalon_2-2,Allegheny County Precinct Avalon 2-2
ocd-division/country:us/state:pa/county:allegheny/precinct:avalon_3-1,Allegheny County Precinct Avalon 3-1
ocd-division/country:us/state:pa/county:allegheny/precinct:avalon_3-2,Allegheny County Precinct Avalon 3-2
ocd-division/country:us/state:pa/county:allegheny/precinct:avalon_3-3,Allegheny County Precinct Avalon 3-3
ocd-division/country:us/state:pa/county:allegheny/precinct:baldwin_1,Allegheny County Precinct Baldwin 1
ocd-division/country:us/state:pa/county:allegheny/precinct:baldwin_2,Allegheny County Precinct Baldwin 2
ocd-division/country:us/state:pa/county:allegheny/precinct:baldwin_3,Allegheny County Precinct Baldwin 3
ocd-division/country:us/state:pa/county:allegheny/precinct:baldwin_4,Allegheny County Precinct Baldwin 4
ocd-division/country:us/state:pa/county:allegheny/precinct:baldwin_5,Allegheny County Precinct Baldwin 5
ocd-division/country:us/state:pa/county:allegheny/precinct:baldwin_6,Allegheny County Precinct Baldwin 6
ocd-division/country:us/state:pa/county:allegheny/precinct:baldwin_7,Allegheny County Precinct Baldwin 7
ocd-division/country:us/state:pa/county:allegheny/precinct:baldwin_8,Allegheny County Precinct Baldwin 8
ocd-division/country:us/state:pa/county:allegheny/precinct:baldwin_9,Allegheny County Precinct Baldwin 9
ocd-division/country:us/state:pa/county:allegheny/precinct:baldwin_10,Allegheny County Precinct Baldwin 10
ocd-division/country:us/state:pa/county:allegheny/precinct:baldwin_11,Allegheny County Precinct Baldwin 11
ocd-division/country:us/state:pa/county:allegheny/precinct:baldwin_12,Allegheny County Precinct Baldwin 12
ocd-division/country:us/state:pa/county:allegheny/precinct:baldwin_13,Allegheny County Precinct Baldwin 13
ocd-division/country:us/state:pa/county:allegheny/precinct:baldwin_14,Allegheny County Precinct Baldwin 14
ocd-division/country:us/state:pa/county:allegheny/precinct:baldwin_15,Allegheny County Precinct Baldwin 15
ocd-division/country:us/state:pa/county:allegheny/precinct:baldwin_16,Allegheny County Precinct Baldwin 16
ocd-division/country:us/state:pa/county:allegheny/precinct:baldwin_17,Allegheny County Precinct Baldwin 17
ocd-division/country:us/state:pa/county:allegheny/precinct:baldwin_18,Allegheny County Precinct Baldwin 18
ocd-division/country:us/state:pa/county:allegheny/precinct:baldwin_tp_1,Allegheny County Precinct Baldwin Tp 1
ocd-division/country:us/state:pa/county:allegheny/precinct:baldwin_tp_2,Allegheny County Precinct Baldwin Tp 2
ocd-division/country:us/state:pa/county:allegheny/precinct:bell_acres,Allegheny County Precinct Bell Acres
ocd-division/country:us/state:pa/county:allegheny/precinct:bellevue_1-1,Allegheny County Precinct Bellevue 1-1
ocd-division/country:us/state:pa/county:allegheny/precinct:bellevue_1-2,Allegheny County Precinct Bellevue 1-2
ocd-division/country:us/state:pa/county:allegheny/precinct:bellevue_2-1,Allegheny County Precinct Bellevue 2-1
ocd-division/country:us/state:pa/county:allegheny/precinct:bellevue_2-2,Allegheny County Precinct Bellevue 2-2
ocd-division/country:us/state:pa/county:allegheny/precinct:bellevue_3-1,Allegheny County Precinct Bellevue 3-1
ocd-division/country:us/state:pa/county:allegheny/precinct:bellevue_3-2,Allegheny County Precinct Bellevue 3-2
ocd-division/country:us/state:pa/county:allegheny/precinct:ben_avon_1,Allegheny County Precinct Ben Avon 1
ocd-division/country:us/state:pa/county:allegheny/precinct:ben_avon_2,Allegheny County Precinct Ben Avon 2
ocd-division/country:us/state:pa/county:allegheny/precinct:ben_avon_ht,Allegheny County Precinct Ben Avon Ht
ocd-division/country:us/state:pa/county:allegheny/precinct:bethel_park_1-1,Allegheny County Precinct Bethel Park 1-1
ocd-division/country:us/state:pa/county:allegheny/precinct:bethel_park_1-2,Allegheny County Precinct Bethel Park 1-2
ocd-division/country:us/state:pa/county:allegheny/precinct:bethel_park_1-3,Allegheny County Precinct Bethel Park 1-3
ocd-division/country:us/state:pa/county:allegheny/precinct:bethel_park_2-1,Allegheny County Precinct Bethel Park 2-1
ocd-division/country:us/state:pa/county:allegheny/precinct:bethel_park_2-2,Allegheny County Precinct Bethel Park 2-2
ocd-division/country:us/state:pa/county:allegheny/precinct:bethel_park_2-3,Allegheny County Precinct Bethel Park 2-3
ocd-division/country:us/state:pa/county:allegheny/precinct:bethel_park_3-1,Allegheny County Precinct Bethel Park 3-1
ocd-division/country:us/state:pa/county:allegheny/precinct:bethel_park_3-2,Allegheny County Precinct Bethel Park 3-2
ocd-division/country:us/state:pa/county:allegheny/precinct:bethel_park_3-3,Allegheny County Precinct Bethel Park 3-3
ocd-division/country:us/state:pa/county:allegheny/precinct:bethel_park_4-1,Allegheny County Precinct Bethel Park 4-1
ocd-division/country:us/state:pa/county:allegheny/precinct:bethel_park_4-2,Allegheny County Precinct Bethel Park 4-2
ocd-division/country:us/state:pa/county:allegheny/precinct:bethel_park_4-3,Allegheny County Precinct Bethel Park 4-3
ocd-division/country:us/state:pa/county:allegheny/precinct:bethel_park_5-1,Allegheny County Precinct Bethel Park 5-1
ocd-division/country:us/state:pa/county:allegheny/precinct:bethel_park_5-2,Allegheny County Precinct Bethel Park 5-2
ocd-division/country:us/state:pa/county:allegheny/precinct:bethel_park_5-3,Allegheny County Precinct Bethel Park 5-3
ocd-division/country:us/state:pa/county:allegheny/precinct:bethel_park_6-1,Allegheny County Precinct Bethel Park 6-1
ocd-division/country:us/state:pa/county:allegheny/precinct:bethel_park_6-2,Allegheny County Precinct Bethel Park 6-2
ocd-division/country:us/state:pa/county:allegheny/precinct:bethel_park_6-3,Allegheny County Precinct Bethel Park 6-3
ocd-division/country:us/state:pa/county:allegheny/precinct:bethel_park_7-1,Allegheny County Precinct Bethel Park 7-1
ocd-division/country:us/state:pa/county:allegheny/precinct:bethel_park_7-2,Allegheny County Precinct Bethel Park 7-2
ocd-division/country:us/state:pa/county:allegheny/precinct:bethel_park_7-3,Allegheny County Precinct Bethel Park 7-3
ocd-division/country:us/state:pa/county:allegheny/precinct:bethel_park_8-1,Allegheny County Precinct Bethel Park 8-1
ocd-division/country:us/state:pa/county:allegheny/precinct:bethel_park_8-2,Allegheny County Precinct Bethel Park 8-2
ocd-division/country:us/state:pa/county:allegheny/precinct:bethel_park_8-3,Allegheny County Precinct Bethel Park 8-3
ocd-division/country:us/state:pa/county:allegheny/precinct:bethel_park_8-4,Allegheny County Precinct Bethel Park 8-4
ocd-division/country:us/state:pa/county:allegheny/precinct:bethel_park_9-1,Allegheny County Precinct Bethel Park 9-1
ocd-division/country:us/state:pa/county:allegheny/precinct:bethel_park_9-2,Allegheny County Precinct Bethel Park 9-2
ocd-division/country:us/state:pa/county:allegheny/precinct:bethel_park_9-3,Allegheny County Precinct Bethel Park 9-3
ocd-division/country:us/state:pa/county:allegheny/precinct:blawnox,Allegheny County Precinct Blawnox
ocd-division/country:us/state:pa/county:allegheny/precinct:brackenridge_1,Allegheny County Precinct Brackenridge 1
ocd-division/country:us/state:pa/county:allegheny/precinct:brackenridge_2,Allegheny County Precinct Brackenridge 2
ocd-division/country:us/state:pa/county:allegheny/precinct:brackenridge_3,Allegheny County Precinct Brackenridge 3
ocd-division/country:us/state:pa/county:allegheny/precinct:braddock_1,Allegheny County Precinct Braddock 1
ocd-division/country:us/state:pa/county:allegheny/precinct:braddock_2,Allegheny County Precinct Braddock 2
ocd-division/country:us/state:pa/county:allegheny/precinct:braddock_3,Allegheny County Precinct Braddock 3
ocd-division/country:us/state:pa/county:allegheny/precinct:braddock_hl_1,Allegheny County Precinct Braddock Hl 1
ocd-division/country:us/state:pa/county:allegheny/precinct:braddock_hl_2,Allegheny County Precinct Braddock Hl 2
ocd-division/country:us/state:pa/county:allegheny/precinct:bradfordwood,Allegheny County Precinct Bradfordwood
ocd-division/country:us/state:pa/county:allegheny/precinct:brentwood_1,Allegheny County Precinct Brentwood 1
ocd-division/country:us/state:pa/county:allegheny/precinct:brentwood_2,Allegheny County Precinct Brentwood 2
ocd-division/country:us/state:pa/county:allegheny/precinct:brentwood_3,Allegheny County Precinct Brentwood 3
ocd-division/country:us/state:pa/county:allegheny/precinct:brentwood_4,Allegheny County Precinct Brentwood 4
ocd-division/country:us/state:pa/county:allegheny/precinct:brentwood_5,Allegheny County Precinct Brentwood 5
ocd-division/country:us/state:pa/county:allegheny/precinct:brentwood_6,Allegheny County Precinct Brentwood 6
ocd-division/country:us/state:pa/county:allegheny/precinct:brentwood_7,Allegheny County Precinct Brentwood 7
ocd-division/country:us/state:pa/county:allegheny/precinct:brentwood_8,Allegheny County Precinct Brentwood 8
ocd-division/country:us/state:pa/county:allegheny/precinct:brentwood_9,Allegheny County Precinct Brentwood 9
ocd-division/country:us/state:pa/county:allegheny/precinct:brentwood_10,Allegheny County Precinct Brentwood 10
ocd-division/country:us/state:pa/county:allegheny/precinct:bridgeville_1,Allegheny County Precinct Bridgeville 1
ocd-division/country:us/state:pa/county:allegheny/precinct:bridgeville_2,Allegheny County Precinct Bridgeville 2
ocd-division/country:us/state:pa/county:allegheny/precinct:bridgeville_3,Allegheny County Precinct Bridgeville 3
ocd-division/country:us/state:pa/county:allegheny/precinct:bridgeville_4,Allegheny County Precinct Bridgeville 4
ocd-division/country:us/state:pa/county:allegheny/precinct:carnegie_1-1,Allegheny County Precinct Carnegie 1-1
ocd-division/country:us/state:pa/county:allegheny/precinct:carnegie_1-2,Allegheny County Precinct Carnegie 1-2
ocd-division/country:us/state:pa/county:allegheny/precinct:carnegie_1-3,Allegheny County Precinct Carnegie 1-3
ocd-division/country:us/state:pa/county:allegheny/precinct:carnegie_1-4,Allegheny County Precinct Carnegie 1-4
ocd-division/country:us/state:pa/county:allegheny/precinct:carnegie_2-1,Allegheny County Precinct Carnegie 2-1
ocd-division/country:us/state:pa/county:allegheny/precinct:carnegie_2-2,Allegheny County Precinct Carnegie 2-2
ocd-division/country:us/state:pa/county:allegheny/precinct:carnegie_2-3,Allegheny County Precinct Carnegie 2-3
ocd-division/country:us/state:pa/county:allegheny/precinct:carnegie_2-4,Allegheny County Precinct Carnegie 2-4
ocd-division/country:us/state:pa/county:allegheny/precinct:casl_shannon_1,Allegheny County Precinct Casl Shannon 1
ocd-division/country:us/state:pa/county:allegheny/precinct:casl_shannon_2,Allegheny County Precinct Casl Shannon 2
ocd-division/country:us/state:pa/county:allegheny/precinct:casl_shannon_3,Allegheny County Precinct Casl Shannon 3
ocd-division/country:us/state:pa/county:allegheny/precinct:casl_shannon_4,Allegheny County Precinct Casl Shannon 4
ocd-division/country:us/state:pa/county:allegheny/precinct:casl_shannon_5,Allegheny County Precinct Casl Shannon 5
ocd-division/country:us/state:pa/county:allegheny/precinct:casl_shannon_6,Allegheny County Precinct Casl Shannon 6
ocd-division/country:us/state:pa/county:allegheny/precinct:casl_shannon_7,Allegheny County Precinct Casl Shannon 7
ocd-division/country:us/state:pa/county:allegheny/precinct:casl_shannon_8,Allegheny County Precinct Casl Shannon 8
ocd-division/country:us/state:pa/county:allegheny/precinct:chalfant,Allegheny County Precinct Chalfant
ocd-division/country:us/state:pa/county:allegheny/precinct:cheswick_1,Allegheny County Precinct Cheswick 1
ocd-division/country:us/state:pa/county:allegheny/precinct:cheswick_2,Allegheny County Precinct Cheswick 2
ocd-division/country:us/state:pa/county:allegheny/precinct:churchill_1,Allegheny County Precinct Churchill 1
ocd-division/country:us/state:pa/county:allegheny/precinct:churchill_2,Allegheny County Precinct Churchill 2
ocd-division/country:us/state:pa/county:allegheny/precinct:churchill_3,Allegheny County Precinct Churchill 3
ocd-division/country:us/state:pa/county:allegheny/precinct:churchill_4,Allegheny County Precinct Churchill 4
ocd-division/country:us/state:pa/county:allegheny/precinct:clairton_1-1,Allegheny County Precinct Clairton 1-1
ocd-division/country:us/state:pa/county:allegheny/precinct:clairton_1-2,Allegheny County Precinct Clairton 1-2
ocd-division/country:us/state:pa/county:allegheny/precinct:clairton_1-3,Allegheny County Precinct Clairton 1-3
ocd-division/country:us/state:pa/county:allegheny/precinct:clairton_2-1,Allegheny County Precinct Clairton 2-1
ocd-division/country:us/state:pa/county:allegheny/precinct:clairton_2-2,Allegheny County Precinct Clairton 2-2
ocd-division/country:us/state:pa/county:allegheny/precinct:clairton_2-3,Allegheny County Precinct Clairton 2-3
ocd-division/country:us/state:pa/county:allegheny/precinct:clairton_3-1,Allegheny County Precinct Clairton 3-1
ocd-division/country:us/state:pa/county:allegheny/precinct:clairton_3-2,Allegheny County Precinct Clairton 3-2
ocd-division/country:us/state:pa/county:allegheny/precinct:clairton_3-3,Allegheny County Precinct Clairton 3-3
ocd-division/country:us/state:pa/county:allegheny/precinct:clairton_4-1,Allegheny County Precinct Clairton 4-1
ocd-division/country:us/state:pa/county:allegheny/precinct:clairton_4-2,Allegheny County Precinct Clairton 4-2
ocd-division/country:us/state:pa/county:allegheny/precinct:clairton_4-3,Allegheny County Precinct Clairton 4-3
ocd-division/country:us/state:pa/county:allegheny/precinct:collier_1,Allegheny County Precinct Collier 1
ocd-division/country:us/state:pa/county:allegheny/precinct:collier_2,Allegheny County Precinct Collier 2
ocd-division/country:us/state:pa/county:allegheny/precinct:collier_3,Allegheny County Precinct Collier 3
ocd-division/country:us/state:pa/county:allegheny/precinct:collier_4,Allegheny County Precinct Collier 4
ocd-division/country:us/state:pa/county:allegheny/precinct:coraopolis_1-1,Allegheny County Precinct Coraopolis 1-1
ocd-division/country:us/state:pa/county:allegheny/precinct:coraopolis_1-2,Allegheny County Precinct Coraopolis 1-2
ocd-division/country:us/state:pa/county:allegheny/precinct:coraopolis_2,Allegheny County Precinct Coraopolis 2
