ocd-division/country:us/state:ri/county:bristol,Bristol County
ocd-division/country:us/state:ri/county:kent,Kent County
ocd-division/country:us/state:ri/county:newport,Newport County
ocd-division/country:us/state:ri/county:providence,Providence County
ocd-division/country:us/state:ri/county:washington,Washington County
ocd-division/country:us/state:ri/place:barrington,Barrington town
ocd-division/country:us/state:ri/place:bristol,Bristol town
ocd-division/country:us/state:ri/place:burrillville,Burrillville town
ocd-division/country:us/state:ri/place:central_falls,Central Falls city
ocd-division/country:us/state:ri/place:charlestown,Charlestown town
ocd-division/country:us/state:ri/place:coventry,Coventry town
ocd-division/country:us/state:ri/place:cranston,Cranston city
ocd-division/country:us/state:ri/place:cumberland,Cumberland town
ocd-division/country:us/state:ri/place:east_greenwich,East Greenwich town
ocd-division/country:us/state:ri/place:east_providence,East Providence city
ocd-division/country:us/state:ri/place:exeter,Exeter town
ocd-division/country:us/state:ri/place:foster,Foster town
ocd-division/country:us/state:ri/place:glocester,Glocester town
ocd-division/country:us/state:ri/place:hopkinton,Hopkinton town
ocd-division/country:us/state:ri/place:jamestown,Jamestown town
ocd-division/country:us/state:ri/place:johnston,Johnston town
ocd-division/country:us/state:ri/place:lincoln,Lincoln town
ocd-division/country:us/state:ri/place:little_compton,Little Compton town
ocd-division/country:us/state:ri/place:middletown,Middletown town
ocd-division/country:us/state:ri/place:narragansett,Narragansett town
ocd-division/country:us/state:ri/place:new_shoreham,New Shoreham town
ocd-division/country:us/state:ri/place:newport,Newport city
ocd-division/country:us/state:ri/place:north_kingstown,North Kingstown town
ocd-division/country:us/state:ri/place:north_providence,North Providence town
ocd-division/country:us/state:ri/place:north_smithfield,North Smithfield town
ocd-division/country:us/state:ri/place:pawtucket,Pawtucket city
ocd-division/country:us/state:ri/place:portsmouth,Portsmouth town
ocd-division/country:us/state:ri/place:providence,Providence city
ocd-division/country:us/state:ri/place:richmond,Richmond town
ocd-division/country:us/state:ri/place:scituate,Scituate town
ocd-division/country:us/state:ri/place:smithfield,Smithfield town
ocd-division/country:us/state:ri/place:south_kingstown,South Kingstown town
ocd-division/country:us/state:ri/place:tiverton,Tiverton town
ocd-division/country:us/state:ri/place:warren,Warren town
ocd-division/country:us/state:ri/place:warwick,Warwick city
ocd-division/country:us/state:ri/place:west_greenwich,West Greenwich town
ocd-division/country:us/state:ri/place:west_warwick,West Warwick town
ocd-division/country:us/state:ri/place:westerly,Westerly town
ocd-division/country:us/state:ri/place:woonsocket,Woonsocket city
