ocd-division/country:us/state:ri/place:providence/ward:1,Providence_RI - ward 1
ocd-division/country:us/state:ri/place:providence/ward:2,Providence_RI - ward 2
ocd-division/country:us/state:ri/place:providence/ward:3,Providence_RI - ward 3
ocd-division/country:us/state:ri/place:providence/ward:4,Providence_RI - ward 4
ocd-division/country:us/state:ri/place:providence/ward:5,Providence_RI - ward 5
ocd-division/country:us/state:ri/place:providence/ward:6,Providence_RI - ward 6
ocd-division/country:us/state:ri/place:providence/ward:7,Providence_RI - ward 7
ocd-division/country:us/state:ri/place:providence/ward:8,Providence_RI - ward 8
ocd-division/country:us/state:ri/place:providence/ward:9,Providence_RI - ward 9
ocd-division/country:us/state:ri/place:providence/ward:10,Providence_RI - ward 10
ocd-division/country:us/state:ri/place:providence/ward:11,Providence_RI - ward 11
ocd-division/country:us/state:ri/place:providence/ward:12,Providence_RI - ward 12
ocd-division/country:us/state:ri/place:providence/ward:13,Providence_RI - ward 13
ocd-division/country:us/state:ri/place:providence/ward:14,Providence_RI - ward 14
ocd-division/country:us/state:ri/place:providence/ward:15,Providence_RI - ward 15
ocd-division/country:us/state:ri/place:east_providence/ward:1,East Providence_RI - ward 1
ocd-division/country:us/state:ri/place:east_providence/ward:2,East Providence_RI - ward 2
ocd-division/country:us/state:ri/place:east_providence/ward:3,East Providence_RI - ward 3
ocd-division/country:us/state:ri/place:east_providence/ward:4,East Providence_RI - ward 4
