ocd-division/country:us/state:sc/county:abbeville/council_district:1,Abbeville Council District 1
ocd-division/country:us/state:sc/county:abbeville/council_district:2,Abbeville Council District 2
ocd-division/country:us/state:sc/county:abbeville/council_district:3,Abbeville Council District 3
ocd-division/country:us/state:sc/county:abbeville/council_district:4,Abbeville Council District 4
ocd-division/country:us/state:sc/county:abbeville/council_district:5,Abbeville Council District 5
ocd-division/country:us/state:sc/county:abbeville/council_district:6,Abbeville Council District 6
ocd-division/country:us/state:sc/county:abbeville/council_district:7,Abbeville Council District 7
ocd-division/country:us/state:sc/county:aiken/council_district:1,Aiken Council District 1
ocd-division/country:us/state:sc/county:aiken/council_district:2,Aiken Council District 2
ocd-division/country:us/state:sc/county:aiken/council_district:3,Aiken Council District 3
ocd-division/country:us/state:sc/county:aiken/council_district:4,Aiken Council District 4
ocd-division/country:us/state:sc/county:aiken/council_district:5,Aiken Council District 5
ocd-division/country:us/state:sc/county:aiken/council_district:6,Aiken Council District 6
ocd-division/country:us/state:sc/county:aiken/council_district:7,Aiken Council District 7
ocd-division/country:us/state:sc/county:aiken/council_district:8,Aiken Council District 8
ocd-division/country:us/state:sc/county:allendale/council_district:1,Allendale Council District 1
ocd-division/country:us/state:sc/county:allendale/council_district:2,Allendale Council District 2
ocd-division/country:us/state:sc/county:allendale/council_district:3,Allendale Council District 3
ocd-division/country:us/state:sc/county:allendale/council_district:4,Allendale Council District 4
ocd-division/country:us/state:sc/county:allendale/council_district:5,Allendale Council District 5
ocd-division/country:us/state:sc/county:anderson/council_district:1,Anderson Council District 1
ocd-division/country:us/state:sc/county:anderson/council_district:2,Anderson Council District 2
ocd-division/country:us/state:sc/county:anderson/council_district:3,Anderson Council District 3
ocd-division/country:us/state:sc/county:anderson/council_district:4,Anderson Council District 4
ocd-division/country:us/state:sc/county:anderson/council_district:5,Anderson Council District 5
ocd-division/country:us/state:sc/county:anderson/council_district:6,Anderson Council District 6
ocd-division/country:us/state:sc/county:anderson/council_district:7,Anderson Council District 7
ocd-division/country:us/state:sc/county:bamberg/council_district:1,Bamberg Council District 1
ocd-division/country:us/state:sc/county:bamberg/council_district:2,Bamberg Council District 2
ocd-division/country:us/state:sc/county:bamberg/council_district:3,Bamberg Council District 3
ocd-division/country:us/state:sc/county:bamberg/council_district:4,Bamberg Council District 4
ocd-division/country:us/state:sc/county:bamberg/council_district:5,Bamberg Council District 5
ocd-division/country:us/state:sc/county:bamberg/council_district:6,Bamberg Council District 6
ocd-division/country:us/state:sc/county:bamberg/council_district:7,Bamberg Council District 7
ocd-division/country:us/state:sc/county:barnwell/council_district:1,Barnwell Council District 1
ocd-division/country:us/state:sc/county:barnwell/council_district:2,Barnwell Council District 2
ocd-division/country:us/state:sc/county:barnwell/council_district:3,Barnwell Council District 3
ocd-division/country:us/state:sc/county:barnwell/council_district:4,Barnwell Council District 4
ocd-division/country:us/state:sc/county:barnwell/council_district:5,Barnwell Council District 5
ocd-division/country:us/state:sc/county:barnwell/council_district:6,Barnwell Council District 6
ocd-division/country:us/state:sc/county:barnwell/council_district:7,Barnwell Council District 7
ocd-division/country:us/state:sc/county:beaufort/council_district:1,Beaufort Council District 1
ocd-division/country:us/state:sc/county:beaufort/council_district:2,Beaufort Council District 2
ocd-division/country:us/state:sc/county:beaufort/council_district:3,Beaufort Council District 3
ocd-division/country:us/state:sc/county:beaufort/council_district:4,Beaufort Council District 4
ocd-division/country:us/state:sc/county:beaufort/council_district:5,Beaufort Council District 5
ocd-division/country:us/state:sc/county:beaufort/council_district:6,Beaufort Council District 6
ocd-division/country:us/state:sc/county:beaufort/council_district:7,Beaufort Council District 7
ocd-division/country:us/state:sc/county:beaufort/council_district:8,Beaufort Council District 8
ocd-division/country:us/state:sc/county:beaufort/council_district:9,Beaufort Council District 9
ocd-division/country:us/state:sc/county:beaufort/council_district:10,Beaufort Council District 10
ocd-division/country:us/state:sc/county:beaufort/council_district:11,Beaufort Council District 11
ocd-division/country:us/state:sc/county:berkeley/council_district:1,Berkeley Council District 1
ocd-division/country:us/state:sc/county:berkeley/council_district:2,Berkeley Council District 2
ocd-division/country:us/state:sc/county:berkeley/council_district:3,Berkeley Council District 3
ocd-division/country:us/state:sc/county:berkeley/council_district:4,Berkeley Council District 4
ocd-division/country:us/state:sc/county:berkeley/council_district:5,Berkeley Council District 5
ocd-division/country:us/state:sc/county:berkeley/council_district:6,Berkeley Council District 6
ocd-division/country:us/state:sc/county:berkeley/council_district:7,Berkeley Council District 7
ocd-division/country:us/state:sc/county:berkeley/council_district:8,Berkeley Council District 8
ocd-division/country:us/state:sc/county:calhoun/council_district:1,Calhoun Council District 1
ocd-division/country:us/state:sc/county:calhoun/council_district:2,Calhoun Council District 2
ocd-division/country:us/state:sc/county:calhoun/council_district:3,Calhoun Council District 3
ocd-division/country:us/state:sc/county:calhoun/council_district:4,Calhoun Council District 4
ocd-division/country:us/state:sc/county:calhoun/council_district:5,Calhoun Council District 5
ocd-division/country:us/state:sc/county:charleston/council_district:1,Charleston County SC County Council District 1
ocd-division/country:us/state:sc/county:charleston/council_district:2,Charleston County SC County Council District 2
ocd-division/country:us/state:sc/county:charleston/council_district:3,Charleston County SC County Council District 3
ocd-division/country:us/state:sc/county:charleston/council_district:4,Charleston County SC County Council District 4
ocd-division/country:us/state:sc/county:charleston/council_district:5,Charleston County SC County Council District 5
ocd-division/country:us/state:sc/county:charleston/council_district:6,Charleston County SC County Council District 6
ocd-division/country:us/state:sc/county:charleston/council_district:7,Charleston County SC County Council District 7
ocd-division/country:us/state:sc/county:charleston/council_district:8,Charleston County SC County Council District 8
ocd-division/country:us/state:sc/county:charleston/council_district:9,Charleston County SC County Council District 9
ocd-division/country:us/state:sc/county:cherokee/council_district:1,Cherokee Council District 1
ocd-division/country:us/state:sc/county:cherokee/council_district:2,Cherokee Council District 2
ocd-division/country:us/state:sc/county:cherokee/council_district:3,Cherokee Council District 3
ocd-division/country:us/state:sc/county:cherokee/council_district:4,Cherokee Council District 4
ocd-division/country:us/state:sc/county:cherokee/council_district:5,Cherokee Council District 5
ocd-division/country:us/state:sc/county:cherokee/council_district:6,Cherokee Council District 6
ocd-division/country:us/state:sc/county:cherokee/council_district:7,Cherokee Council District 7
ocd-division/country:us/state:sc/county:chester/council_district:1,Chester Council District 1
ocd-division/country:us/state:sc/county:chester/council_district:2,Chester Council District 2
ocd-division/country:us/state:sc/county:chester/council_district:3,Chester Council District 3
ocd-division/country:us/state:sc/county:chester/council_district:4,Chester Council District 4
ocd-division/country:us/state:sc/county:chester/council_district:5,Chester Council District 5
ocd-division/country:us/state:sc/county:chester/council_district:6,Chester Council District 6
ocd-division/country:us/state:sc/county:clarendon/council_district:1,Clarendon Council District 1
ocd-division/country:us/state:sc/county:clarendon/council_district:2,Clarendon Council District 2
ocd-division/country:us/state:sc/county:clarendon/council_district:3,Clarendon Council District 3
ocd-division/country:us/state:sc/county:darlington/council_district:1,Darlington Council District 1
ocd-division/country:us/state:sc/county:darlington/council_district:2,Darlington Council District 2
ocd-division/country:us/state:sc/county:darlington/council_district:3,Darlington Council District 3
ocd-division/country:us/state:sc/county:darlington/council_district:4,Darlington Council District 4
ocd-division/country:us/state:sc/county:darlington/council_district:5,Darlington Council District 5
ocd-division/country:us/state:sc/county:darlington/council_district:6,Darlington Council District 6
ocd-division/country:us/state:sc/county:darlington/council_district:7,Darlington Council District 7
ocd-division/country:us/state:sc/county:darlington/council_district:8,Darlington Council District 8
ocd-division/country:us/state:sc/county:dillon/council_district:1,Dillon Council District 1
ocd-division/country:us/state:sc/county:dillon/council_district:2,Dillon Council District 2
ocd-division/country:us/state:sc/county:dillon/council_district:3,Dillon Council District 3
ocd-division/country:us/state:sc/county:dillon/council_district:4,Dillon Council District 4
ocd-division/country:us/state:sc/county:dillon/council_district:5,Dillon Council District 5
ocd-division/country:us/state:sc/county:dillon/council_district:6,Dillon Council District 6
ocd-division/country:us/state:sc/county:dillon/council_district:7,Dillon Council District 7
ocd-division/country:us/state:sc/county:dorchester/council_district:1,Dorchester Council District 1
ocd-division/country:us/state:sc/county:dorchester/council_district:2,Dorchester Council District 2
ocd-division/country:us/state:sc/county:dorchester/council_district:3,Dorchester Council District 3
ocd-division/country:us/state:sc/county:dorchester/council_district:4,Dorchester Council District 4
ocd-division/country:us/state:sc/county:dorchester/council_district:5,Dorchester Council District 5
ocd-division/country:us/state:sc/county:dorchester/council_district:6,Dorchester Council District 6
ocd-division/country:us/state:sc/county:dorchester/council_district:7,Dorchester Council District 7
ocd-division/country:us/state:sc/county:edgefield/council_district:1,Edgefield Council District 1
ocd-division/country:us/state:sc/county:edgefield/council_district:2,Edgefield Council District 2
ocd-division/country:us/state:sc/county:edgefield/council_district:3,Edgefield Council District 3
ocd-division/country:us/state:sc/county:edgefield/council_district:4,Edgefield Council District 4
ocd-division/country:us/state:sc/county:edgefield/council_district:5,Edgefield Council District 5
ocd-division/country:us/state:sc/county:fairfield/council_district:1,Fairfield Council District 1
ocd-division/country:us/state:sc/county:fairfield/council_district:2,Fairfield Council District 2
ocd-division/country:us/state:sc/county:fairfield/council_district:3,Fairfield Council District 3
ocd-division/country:us/state:sc/county:fairfield/council_district:4,Fairfield Council District 4
