ocd-division/country:us/state:sd/county:aurora,Aurora County
ocd-division/country:us/state:sd/county:aurora/place:aurora,Aurora township
ocd-division/country:us/state:sd/county:aurora/place:belford,Belford township
ocd-division/country:us/state:sd/county:aurora/place:bristol,Bristol township
ocd-division/country:us/state:sd/county:aurora/place:center,Center township
ocd-division/country:us/state:sd/county:aurora/place:cooper,Cooper township
ocd-division/country:us/state:sd/county:aurora/place:crystal_lake,Crystal Lake township
ocd-division/country:us/state:sd/county:aurora/place:dudley,Dudley township
ocd-division/country:us/state:sd/county:aurora/place:eureka,Eureka township
ocd-division/country:us/state:sd/county:aurora/place:firesteel,Firesteel township
ocd-division/country:us/state:sd/county:aurora/place:gales,Gales township
ocd-division/country:us/state:sd/county:aurora/place:hopper,Hopper township
ocd-division/country:us/state:sd/county:aurora/place:lake,Lake township
ocd-division/country:us/state:sd/county:aurora/place:palatine,Palatine township
ocd-division/country:us/state:sd/county:aurora/place:patten,Patten township
ocd-division/country:us/state:sd/county:aurora/place:plankinton,Plankinton township
ocd-division/country:us/state:sd/county:aurora/place:pleasant_lake,Pleasant Lake township
ocd-division/country:us/state:sd/county:aurora/place:pleasant_valley,Pleasant Valley township
ocd-division/country:us/state:sd/county:aurora/place:truro,Truro township
ocd-division/country:us/state:sd/county:aurora/place:washington,Washington township
ocd-division/country:us/state:sd/county:aurora/place:white_lake,White Lake township
ocd-division/country:us/state:sd/county:beadle,Beadle County
ocd-division/country:us/state:sd/county:beadle/place:allen,Allen township
ocd-division/country:us/state:sd/county:beadle/place:altoona,Altoona township
ocd-division/country:us/state:sd/county:beadle/place:banner,Banner township
ocd-division/country:us/state:sd/county:beadle/place:barrett,Barrett township
ocd-division/country:us/state:sd/county:beadle/place:belle_prairie,Belle Prairie township
ocd-division/country:us/state:sd/county:beadle/place:bonilla,Bonilla township
ocd-division/country:us/state:sd/county:beadle/place:broadland,Broadland township
ocd-division/country:us/state:sd/county:beadle/place:burr_oak,Burr Oak township
ocd-division/country:us/state:sd/county:beadle/place:carlyle,Carlyle township
ocd-division/country:us/state:sd/county:beadle/place:cavour,Cavour township
ocd-division/country:us/state:sd/county:beadle/place:clifton,Clifton township
ocd-division/country:us/state:sd/county:beadle/place:clyde,Clyde township
ocd-division/country:us/state:sd/county:beadle/place:custer,Custer township
ocd-division/country:us/state:sd/county:beadle/place:dearborn,Dearborn township
ocd-division/country:us/state:sd/county:beadle/place:fairfield,Fairfield township
ocd-division/country:us/state:sd/county:beadle/place:foster,Foster township
