ocd-division/country:us/state:sd/county:aurora/council_district:1,Aurora County District 1
ocd-division/country:us/state:sd/county:aurora/council_district:2,Aurora County District 2
ocd-division/country:us/state:sd/county:aurora/council_district:3,Aurora County District 3
ocd-division/country:us/state:sd/county:aurora/council_district:4,Aurora County District 4
ocd-division/country:us/state:sd/county:aurora/council_district:5,Aurora County District 5
ocd-division/country:us/state:sd/county:beadle/council_district:1,Beadle County District 1
ocd-division/country:us/state:sd/county:beadle/council_district:2,Beadle County District 2
ocd-division/country:us/state:sd/county:beadle/council_district:3,Beadle County District 3
ocd-division/country:us/state:sd/county:beadle/council_district:4,Beadle County District 4
ocd-division/country:us/state:sd/county:beadle/council_district:5,Beadle County District 5
ocd-division/country:us/state:sd/county:bon_homme/council_district:1,Bon Homme County District 1
ocd-division/country:us/state:sd/county:bon_homme/council_district:2,Bon Homme County District 2
ocd-division/country:us/state:sd/county:bon_homme/council_district:3,Bon Homme County District 3
ocd-division/country:us/state:sd/county:bon_homme/council_district:4,Bon Homme County District 4
ocd-division/country:us/state:sd/county:bon_homme/council_district:5,Bon Homme County District 5
ocd-division/country:us/state:sd/county:buffalo/council_district:1,Buffalo County District 1
ocd-division/country:us/state:sd/county:buffalo/council_district:2,Buffalo County District 2
ocd-division/country:us/state:sd/county:buffalo/council_district:3,Buffalo County District 3
ocd-division/country:us/state:sd/county:butte/council_district:1,Butte County District 1
ocd-division/country:us/state:sd/county:butte/council_district:2,Butte County District 2
ocd-division/country:us/state:sd/county:butte/council_district:3,Butte County District 3
ocd-division/country:us/state:sd/county:butte/council_district:4,Butte County District 4
ocd-division/country:us/state:sd/county:butte/council_district:5,Butte County District 5
ocd-division/country:us/state:sd/county:campbell/council_district:1,Campbell County District 1
ocd-division/country:us/state:sd/county:campbell/council_district:2,Campbell County District 2
ocd-division/country:us/state:sd/county:campbell/council_district:3,Campbell County District 3
ocd-division/country:us/state:sd/county:campbell/council_district:4,Campbell County District 4
ocd-division/country:us/state:sd/county:campbell/council_district:5,Campbell County District 5
ocd-division/country:us/state:sd/county:clark/council_district:1,Clark County District 1
ocd-division/country:us/state:sd/county:clark/council_district:2,Clark County District 2
ocd-division/country:us/state:sd/county:clark/council_district:3,Clark County District 3
ocd-division/country:us/state:sd/county:clark/council_district:4,Clark County District 4
ocd-division/country:us/state:sd/county:clark/council_district:5,Clark County District 5
ocd-division/country:us/state:sd/county:codington/council_district:1,Codington County District 1
ocd-division/country:us/state:sd/county:codington/council_district:2,Codington County District 2
ocd-division/country:us/state:sd/county:codington/council_district:3,Codington County District 3
ocd-division/country:us/state:sd/county:codington/council_district:4,Codington County District 4
ocd-division/country:us/state:sd/county:codington/council_district:5,Codington County District 5
ocd-division/country:us/state:sd/county:davison/council_district:1,Davison County District 1
ocd-division/country:us/state:sd/county:davison/council_district:2,Davison County District 2
ocd-division/country:us/state:sd/county:davison/council_district:3,Davison County District 3
ocd-division/country:us/state:sd/county:davison/council_district:4,Davison County District 4
ocd-division/country:us/state:sd/county:davison/council_district:5,Davison County District 5
ocd-division/country:us/state:sd/county:day/council_district:1,Day County District 1
ocd-division/country:us/state:sd/county:day/council_district:2,Day County District 2
ocd-division/country:us/state:sd/county:day/council_district:3,Day County District 3
ocd-division/country:us/state:sd/county:day/council_district:4,Day County District 4
ocd-division/country:us/state:sd/county:day/council_district:5,Day County District 5
ocd-division/country:us/state:sd/county:deuel/council_district:1,Deuel County District 1
ocd-division/country:us/state:sd/county:deuel/council_district:2,Deuel County District 2
ocd-division/country:us/state:sd/county:deuel/council_district:3,Deuel County District 3
ocd-division/country:us/state:sd/county:deuel/council_district:4,Deuel County District 4
ocd-division/country:us/state:sd/county:deuel/council_district:5,Deuel County District 5
ocd-division/country:us/state:sd/county:dewey/council_district:1,Dewey County District 1
ocd-division/country:us/state:sd/county:dewey/council_district:2,Dewey County District 2
ocd-division/country:us/state:sd/county:dewey/council_district:3,Dewey County District 3
ocd-division/country:us/state:sd/county:dewey/council_district:4,Dewey County District 4
ocd-division/country:us/state:sd/county:dewey/council_district:5,Dewey County District 5
ocd-division/country:us/state:sd/county:douglas/council_district:1,Douglas County District 1
ocd-division/country:us/state:sd/county:douglas/council_district:2,Douglas County District 2
ocd-division/country:us/state:sd/county:douglas/council_district:3,Douglas County District 3
ocd-division/country:us/state:sd/county:douglas/council_district:4,Douglas County District 4
ocd-division/country:us/state:sd/county:douglas/council_district:5,Douglas County District 5
ocd-division/country:us/state:sd/county:grant/council_district:1,Grant County District 1
ocd-division/country:us/state:sd/county:grant/council_district:2,Grant County District 2
ocd-division/country:us/state:sd/county:grant/council_district:3,Grant County District 3
ocd-division/country:us/state:sd/county:grant/council_district:4,Grant County District 4
ocd-division/country:us/state:sd/county:grant/council_district:5,Grant County District 5
ocd-division/country:us/state:sd/county:haakon/council_district:1,Haakon County District 1
ocd-division/country:us/state:sd/county:haakon/council_district:2,Haakon County District 2
ocd-division/country:us/state:sd/county:haakon/council_district:3,Haakon County District 3
ocd-division/country:us/state:sd/county:haakon/council_district:4,Haakon County District 4
ocd-division/country:us/state:sd/county:haakon/council_district:5,Haakon County District 5
ocd-division/country:us/state:sd/county:hamlin/council_district:1,Hamlin County District 1
ocd-division/country:us/state:sd/county:hamlin/council_district:2,Hamlin County District 2
ocd-division/country:us/state:sd/county:hamlin/council_district:3,Hamlin County District 3
ocd-division/country:us/state:sd/county:hamlin/council_district:4,Hamlin County District 4
ocd-division/country:us/state:sd/county:hamlin/council_district:5,Hamlin County District 5
ocd-division/country:us/state:sd/county:hand/council_district:1,Hand County County District 1
ocd-division/country:us/state:sd/county:hand/council_district:2,Hand County County District 2
ocd-division/country:us/state:sd/county:hand/council_district:3,Hand County County District 3
ocd-division/country:us/state:sd/county:hand/council_district:4,Hand County County District 4
ocd-division/country:us/state:sd/county:hand/council_district:5,Hand County County District 5
ocd-division/country:us/state:sd/county:hanson/council_district:1,Hanson County District 1
ocd-division/country:us/state:sd/county:hanson/council_district:2,Hanson County District 2
ocd-division/country:us/state:sd/county:hanson/council_district:3,Hanson County District 3
ocd-division/country:us/state:sd/county:hanson/council_district:4,Hanson County District 4
ocd-division/country:us/state:sd/county:hanson/council_district:5,Hanson County District 5
ocd-division/country:us/state:sd/county:hutchinson/council_district:1,Hutchinson County District 1
ocd-division/country:us/state:sd/county:hutchinson/council_district:2,Hutchinson County District 2
ocd-division/country:us/state:sd/county:hutchinson/council_district:3,Hutchinson County District 3
ocd-division/country:us/state:sd/county:hutchinson/council_district:4,Hutchinson County District 4
ocd-division/country:us/state:sd/county:hutchinson/council_district:5,Hutchinson County District 5
ocd-division/country:us/state:sd/county:hyde/council_district:1,Hyde County District 1
ocd-division/country:us/state:sd/county:hyde/council_district:2,Hyde County District 2
ocd-division/country:us/state:sd/county:hyde/council_district:3,Hyde County District 3
ocd-division/country:us/state:sd/county:hyde/council_district:4,Hyde County District 4
ocd-division/country:us/state:sd/county:hyde/council_district:5,Hyde County District 5
ocd-division/country:us/state:sd/county:jones/council_district:1,Jones County District 1
ocd-division/country:us/state:sd/county:jones/council_district:2,Jones County District 2
ocd-division/country:us/state:sd/county:jones/council_district:3,Jones County District 3
ocd-division/country:us/state:sd/county:kingsbury/council_district:1,Kingsbury County District 1
ocd-division/country:us/state:sd/county:kingsbury/council_district:2,Kingsbury County District 2
ocd-division/country:us/state:sd/county:kingsbury/council_district:3,Kingsbury County District 3
ocd-division/country:us/state:sd/county:kingsbury/council_district:4,Kingsbury County District 4
ocd-division/country:us/state:sd/county:kingsbury/council_district:5,Kingsbury County District 5
ocd-division/country:us/state:sd/county:lincoln/council_district:1,Lincoln County District 1
ocd-division/country:us/state:sd/county:lincoln/council_district:2,Lincoln County District 2
ocd-division/country:us/state:sd/county:lincoln/council_district:3,Lincoln County District 3
ocd-division/country:us/state:sd/county:lincoln/council_district:4,Lincoln County District 4
ocd-division/country:us/state:sd/county:lincoln/council_district:5,Lincoln County District 5
ocd-division/country:us/state:sd/county:marshall/council_district:1,Marshall County District 1
ocd-division/country:us/state:sd/county:marshall/council_district:2,Marshall County District 2
ocd-division/country:us/state:sd/county:marshall/council_district:3,Marshall County District 3
ocd-division/country:us/state:sd/county:marshall/council_district:4,Marshall County District 4
ocd-division/country:us/state:sd/county:marshall/council_district:5,Marshall County District 5
ocd-division/country:us/state:sd/county:mccook/council_district:1,McCook County District 1
ocd-division/country:us/state:sd/county:mccook/council_district:2,McCook County District 2
ocd-division/country:us/state:sd/county:mccook/council_district:3,McCook County District 3
ocd-division/country:us/state:sd/county:mccook/council_district:4,McCook County District 4
ocd-division/country:us/state:sd/county:mccook/council_district:5,McCook County District 5
ocd-division/country:us/state:sd/county:mcpherson/council_district:1,McPherson County District 1
ocd-division/country:us/state:sd/county:mcpherson/council_district:2,McPherson County District 2
ocd-division/country:us/state:sd/county:mcpherson/council_district:3,McPherson County District 3
ocd-division/country:us/state:sd/county:mcpherson/council_district:4,McPherson County District 4
