ocd-division/country:us/state:tx/county:anderson/school_district:cayuga_isd,cayuga isd
ocd-division/country:us/state:tx/county:anderson/school_district:elkhart_isd,elkhart isd
ocd-division/country:us/state:tx/county:anderson/school_district:frankston_isd,frankston isd
ocd-division/country:us/state:tx/county:anderson/school_district:neches_isd,neches isd
ocd-division/country:us/state:tx/county:anderson/school_district:palestine_isd,palestine isd
ocd-division/country:us/state:tx/county:anderson/school_district:slocum_isd,slocum isd
ocd-division/country:us/state:tx/county:anderson/school_district:westwood_isd,westwood isd
ocd-division/country:us/state:tx/county:andrews/school_district:andrews_isd,andrews isd
ocd-division/country:us/state:tx/county:angelina/school_district:central_isd,central isd
ocd-division/country:us/state:tx/county:angelina/school_district:diboll_isd,diboll isd
ocd-division/country:us/state:tx/county:angelina/school_district:hudson_isd,hudson isd
ocd-division/country:us/state:tx/county:angelina/school_district:huntington_isd,huntington isd
ocd-division/country:us/state:tx/county:angelina/school_district:lufkin_isd,lufkin isd
ocd-division/country:us/state:tx/county:angelina/school_district:pineywoods_community_academy,pineywoods community academy
ocd-division/country:us/state:tx/county:angelina/school_district:zavalla_isd,zavalla isd
ocd-division/country:us/state:tx/county:aransas/school_district:aransas_county_isd,aransas county isd
ocd-division/country:us/state:tx/county:archer/school_district:archer_city_isd,archer city isd
ocd-division/country:us/state:tx/county:archer/school_district:holliday_isd,holliday isd
ocd-division/country:us/state:tx/county:archer/school_district:windthorst_isd,windthorst isd
ocd-division/country:us/state:tx/county:armstrong/school_district:claude_isd,claude isd
ocd-division/country:us/state:tx/county:atascosa/school_district:charlotte_isd,charlotte isd
ocd-division/country:us/state:tx/county:atascosa/school_district:jourdanton_isd,jourdanton isd
ocd-division/country:us/state:tx/county:atascosa/school_district:lytle_isd,lytle isd
ocd-division/country:us/state:tx/county:atascosa/school_district:pleasanton_isd,pleasanton isd
ocd-division/country:us/state:tx/county:atascosa/school_district:poteet_isd,poteet isd
ocd-division/country:us/state:tx/county:austin/school_district:bellville_isd,bellville isd
ocd-division/country:us/state:tx/county:austin/school_district:brazos_isd,brazos isd
ocd-division/country:us/state:tx/county:austin/school_district:sealy_isd,sealy isd
ocd-division/country:us/state:tx/county:bailey/school_district:muleshoe_isd,muleshoe isd
ocd-division/country:us/state:tx/county:bandera/school_district:bandera_isd,bandera isd
ocd-division/country:us/state:tx/county:bandera/school_district:medina_isd,medina isd
ocd-division/country:us/state:tx/county:bastrop/school_district:bastrop_isd,bastrop isd
ocd-division/country:us/state:tx/county:bastrop/school_district:elgin_isd,elgin isd
ocd-division/country:us/state:tx/county:bastrop/school_district:mcdade_isd,mcdade isd
ocd-division/country:us/state:tx/county:bastrop/school_district:smithville_isd,smithville isd
ocd-division/country:us/state:tx/county:baylor/school_district:seymour_isd,seymour isd
ocd-division/country:us/state:tx/county:bee/school_district:beeville_isd,beeville isd
ocd-division/country:us/state:tx/county:bee/school_district:pawnee_isd,pawnee isd
ocd-division/country:us/state:tx/county:bee/school_district:pettus_isd,pettus isd
ocd-division/country:us/state:tx/county:bee/school_district:skidmore-tynan_isd,skidmore-tynan isd
ocd-division/country:us/state:tx/county:bee/school_district:st_mary~s_academy_charter_school,st mary's academy charter school
ocd-division/country:us/state:tx/county:bell/school_district:academy_isd,academy isd
ocd-division/country:us/state:tx/county:bell/school_district:bartlett_isd,bartlett isd
ocd-division/country:us/state:tx/county:bell/school_district:belton_isd,belton isd
ocd-division/country:us/state:tx/county:bell/school_district:holland_isd,holland isd
ocd-division/country:us/state:tx/county:bell/school_district:killeen_isd,killeen isd
ocd-division/country:us/state:tx/county:bell/school_district:richard_milburn_alter_high_school_killeen,richard milburn alter high school (killeen)
ocd-division/country:us/state:tx/county:bell/school_district:rogers_isd,rogers isd
ocd-division/country:us/state:tx/county:bell/school_district:salado_isd,salado isd
ocd-division/country:us/state:tx/county:bell/school_district:temple_education_center,temple education center
ocd-division/country:us/state:tx/county:bell/school_district:temple_isd,temple isd
ocd-division/country:us/state:tx/county:bell/school_district:transformative_charter_academy,transformative charter academy
ocd-division/country:us/state:tx/county:bell/school_district:troy_isd,troy isd
ocd-division/country:us/state:tx/county:bexar/school_district:academy_of_careers_and_technologies_charter_school,academy of careers and technologies charter school
ocd-division/country:us/state:tx/county:bexar/school_district:alamo_heights_isd,alamo heights isd
ocd-division/country:us/state:tx/county:bexar/school_district:bexar_county_academy,bexar county academy
ocd-division/country:us/state:tx/county:bexar/school_district:brooks_academy_of_science_and_engineering,brooks academy of science and engineering
ocd-division/country:us/state:tx/county:bexar/school_district:city_center_health_careers,city center health careers
ocd-division/country:us/state:tx/county:bexar/school_district:east_central_isd,east central isd
ocd-division/country:us/state:tx/county:bexar/school_district:edgewood_isd,edgewood isd
ocd-division/country:us/state:tx/county:bexar/school_district:ft_sam_houston_isd,ft sam houston isd
ocd-division/country:us/state:tx/county:bexar/school_district:george_gervin_academy,george gervin academy
ocd-division/country:us/state:tx/county:bexar/school_district:george_i_sanchez_charter_hs_san_antonio_branch,george i sanchez charter hs san antonio branch
ocd-division/country:us/state:tx/county:bexar/school_district:harlandale_isd,harlandale isd
ocd-division/country:us/state:tx/county:bexar/school_district:harmony_science_acad_san_antonio,harmony science acad (san antonio)
ocd-division/country:us/state:tx/county:bexar/school_district:henry_ford_academy_alameda_school_for_art_and_design,henry ford academy alameda school for art and design
ocd-division/country:us/state:tx/county:bexar/school_district:higgs_carter_king_gifted_and_talented_charter_acad,higgs carter king gifted & talented charter acad
ocd-division/country:us/state:tx/county:bexar/school_district:john_h_wood_jr_public_charter_district,john h wood jr public charter district
ocd-division/country:us/state:tx/county:bexar/school_district:jubilee_academic_center,jubilee academic center
ocd-division/country:us/state:tx/county:bexar/school_district:judson_isd,judson isd
ocd-division/country:us/state:tx/county:bexar/school_district:kipp_san_antonio,kipp san antonio
ocd-division/country:us/state:tx/county:bexar/school_district:lackland_isd,lackland isd
ocd-division/country:us/state:tx/county:bexar/school_district:lighthouse_charter_school,lighthouse charter school
ocd-division/country:us/state:tx/county:bexar/school_district:new_frontiers_charter_school,new frontiers charter school
ocd-division/country:us/state:tx/county:bexar/school_district:north_east_isd,north east isd
ocd-division/country:us/state:tx/county:bexar/school_district:northside_isd,northside isd
ocd-division/country:us/state:tx/county:bexar/school_district:por_vida_academy,por vida academy
ocd-division/country:us/state:tx/county:bexar/school_district:positive_solutions_charter_school,positive solutions charter school
ocd-division/country:us/state:tx/county:bexar/school_district:radiance_academy_of_learning,radiance academy of learning
ocd-division/country:us/state:tx/county:bexar/school_district:randolph_field_isd,randolph field isd
ocd-division/country:us/state:tx/county:bexar/school_district:san_antonio_isd,san antonio isd
ocd-division/country:us/state:tx/county:bexar/school_district:san_antonio_preparatory_academy,san antonio preparatory academy
ocd-division/country:us/state:tx/county:bexar/school_district:san_antonio_school_for_inquiry_and_creativity,san antonio school for inquiry & creativity
ocd-division/country:us/state:tx/county:bexar/school_district:san_antonio_technology_academy,san antonio technology academy
ocd-division/country:us/state:tx/county:bexar/school_district:school_of_excellence_in_education,school of excellence in education
ocd-division/country:us/state:tx/county:bexar/school_district:school_of_science_and_technology,school of science and technology
ocd-division/country:us/state:tx/county:bexar/school_district:shekinah_radiance_academy,shekinah radiance academy
ocd-division/country:us/state:tx/county:bexar/school_district:somerset_isd,somerset isd
ocd-division/country:us/state:tx/county:bexar/school_district:south_san_antonio_isd,south san antonio isd
ocd-division/country:us/state:tx/county:bexar/school_district:southside_isd,southside isd
ocd-division/country:us/state:tx/county:bexar/school_district:southwest_isd,southwest isd
ocd-division/country:us/state:tx/county:bexar/school_district:southwest_preparatory_school,southwest preparatory school
ocd-division/country:us/state:tx/county:blanco/school_district:blanco_isd,blanco isd
ocd-division/country:us/state:tx/county:blanco/school_district:johnson_city_isd,johnson city isd
ocd-division/country:us/state:tx/county:borden/school_district:borden_county_isd,borden county isd
ocd-division/country:us/state:tx/county:bosque/school_district:clifton_isd,clifton isd
ocd-division/country:us/state:tx/county:bosque/school_district:cranfills_gap_isd,cranfills gap isd
ocd-division/country:us/state:tx/county:bosque/school_district:iredell_isd,iredell isd
ocd-division/country:us/state:tx/county:bosque/school_district:kopperl_isd,kopperl isd
ocd-division/country:us/state:tx/county:bosque/school_district:meridian_isd,meridian isd
ocd-division/country:us/state:tx/county:bosque/school_district:morgan_isd,morgan isd
ocd-division/country:us/state:tx/county:bosque/school_district:valley_mills_isd,valley mills isd
ocd-division/country:us/state:tx/county:bosque/school_district:walnut_springs_isd,walnut springs isd
ocd-division/country:us/state:tx/county:bowie/school_district:dekalb_isd,dekalb isd
ocd-division/country:us/state:tx/county:bowie/school_district:hooks_isd,hooks isd
ocd-division/country:us/state:tx/county:bowie/school_district:hubbard_isd,hubbard isd
ocd-division/country:us/state:tx/county:bowie/school_district:leary_isd,leary isd
ocd-division/country:us/state:tx/county:bowie/school_district:liberty-eylau_isd,liberty-eylau isd
ocd-division/country:us/state:tx/county:bowie/school_district:malta_isd,malta isd
ocd-division/country:us/state:tx/county:bowie/school_district:maud_isd,maud isd
ocd-division/country:us/state:tx/county:bowie/school_district:new_boston_isd,new boston isd
ocd-division/country:us/state:tx/county:bowie/school_district:pleasant_grove_isd,pleasant grove isd
ocd-division/country:us/state:tx/county:bowie/school_district:red_lick_isd,red lick isd
ocd-division/country:us/state:tx/county:bowie/school_district:redwater_isd,redwater isd
ocd-division/country:us/state:tx/county:bowie/school_district:simms_isd,simms isd
ocd-division/country:us/state:tx/county:bowie/school_district:texarkana_isd,texarkana isd
ocd-division/country:us/state:tx/county:brazoria/school_district:alvin_isd,alvin isd
ocd-division/country:us/state:tx/county:brazoria/school_district:angleton_isd,angleton isd
ocd-division/country:us/state:tx/county:brazoria/school_district:brazosport_isd,brazosport isd
ocd-division/country:us/state:tx/county:brazoria/school_district:columbia-brazoria_isd,columbia-brazoria isd
ocd-division/country:us/state:tx/county:brazoria/school_district:damon_isd,damon isd
ocd-division/country:us/state:tx/county:brazoria/school_district:danbury_isd,danbury isd
ocd-division/country:us/state:tx/county:brazoria/school_district:pearland_isd,pearland isd
ocd-division/country:us/state:tx/county:brazoria/school_district:sweeny_isd,sweeny isd
ocd-division/country:us/state:tx/county:brazos/school_district:brazos_school_for_inquiry_and_creativity,brazos school for inquiry & creativity
ocd-division/country:us/state:tx/county:brazos/school_district:bryan_isd,bryan isd
ocd-division/country:us/state:tx/county:brazos/school_district:college_station_isd,college station isd
ocd-division/country:us/state:tx/county:brewster/school_district:alpine_isd,alpine isd
ocd-division/country:us/state:tx/county:brewster/school_district:marathon_isd,marathon isd
ocd-division/country:us/state:tx/county:brewster/school_district:san_vicente_isd,san vicente isd
ocd-division/country:us/state:tx/county:brewster/school_district:terlingua_csd,terlingua csd
ocd-division/country:us/state:tx/county:briscoe/school_district:silverton_isd,silverton isd
ocd-division/country:us/state:tx/county:briscoe/school_district:turkey-quitaque_isd,turkey-quitaque isd
ocd-division/country:us/state:tx/county:brooks/school_district:brooks_county_isd,brooks county isd
ocd-division/country:us/state:tx/county:brooks/school_district:encino_school,encino school
ocd-division/country:us/state:tx/county:brooks/school_district:la_gloria_isd,la gloria isd
ocd-division/country:us/state:tx/county:brown/school_district:bangs_isd,bangs isd
ocd-division/country:us/state:tx/county:brown/school_district:blanket_isd,blanket isd
ocd-division/country:us/state:tx/county:brown/school_district:brookesmith_isd,brookesmith isd
ocd-division/country:us/state:tx/county:brown/school_district:brownwood_isd,brownwood isd
ocd-division/country:us/state:tx/county:brown/school_district:early_isd,early isd
ocd-division/country:us/state:tx/county:brown/school_district:may_isd,may isd
ocd-division/country:us/state:tx/county:brown/school_district:novice_isd,novice isd
ocd-division/country:us/state:tx/county:brown/school_district:ron_jackson_state_juvenile_corr_complex_unit_i,ron jackson state juvenile corr complex unit i
ocd-division/country:us/state:tx/county:brown/school_district:ron_jackson_state_juvenile_corr_complex_unit_ii,ron jackson state juvenile corr complex unit ii
ocd-division/country:us/state:tx/county:brown/school_district:zephyr_isd,zephyr isd
ocd-division/country:us/state:tx/county:burleson/school_district:caldwell_isd,caldwell isd
ocd-division/country:us/state:tx/county:burleson/school_district:snook_isd,snook isd
ocd-division/country:us/state:tx/county:burleson/school_district:somerville_isd,somerville isd
ocd-division/country:us/state:tx/county:burnet/school_district:burnet_cisd,burnet cisd
ocd-division/country:us/state:tx/county:burnet/school_district:marble_falls_isd,marble falls isd
ocd-division/country:us/state:tx/county:caldwell/school_district:lockhart_isd,lockhart isd
ocd-division/country:us/state:tx/county:caldwell/school_district:luling_isd,luling isd
ocd-division/country:us/state:tx/county:caldwell/school_district:prairie_lea_isd,prairie lea isd
ocd-division/country:us/state:tx/county:calhoun/school_district:calhoun_county_isd,calhoun county isd
ocd-division/country:us/state:tx/county:callahan/school_district:baird_isd,baird isd
ocd-division/country:us/state:tx/county:callahan/school_district:clyde_cisd,clyde cisd
ocd-division/country:us/state:tx/county:callahan/school_district:cross_plains_isd,cross plains isd
ocd-division/country:us/state:tx/county:callahan/school_district:eula_isd,eula isd
ocd-division/country:us/state:tx/county:cameron/school_district:brownsville_isd,brownsville isd
ocd-division/country:us/state:tx/county:cameron/school_district:harlingen_cisd,harlingen cisd
ocd-division/country:us/state:tx/county:cameron/school_district:harmony_science_academy_-_brownsville,harmony science academy - brownsville
ocd-division/country:us/state:tx/county:cameron/school_district:la_feria_isd,la feria isd
ocd-division/country:us/state:tx/county:cameron/school_district:los_fresnos_cisd,los fresnos cisd
ocd-division/country:us/state:tx/county:cameron/school_district:point_isabel_isd,point isabel isd
ocd-division/country:us/state:tx/county:cameron/school_district:raul_yzaguirre_school_for_success,raul yzaguirre school for success
ocd-division/country:us/state:tx/county:cameron/school_district:rio_hondo_isd,rio hondo isd
ocd-division/country:us/state:tx/county:cameron/school_district:san_benito_cisd,san benito cisd
ocd-division/country:us/state:tx/county:cameron/school_district:santa_maria_isd,santa maria isd
ocd-division/country:us/state:tx/county:cameron/school_district:santa_rosa_isd,santa rosa isd
ocd-division/country:us/state:tx/county:camp/school_district:pittsburg_isd,pittsburg isd
ocd-division/country:us/state:tx/county:carson/school_district:groom_isd,groom isd
ocd-division/country:us/state:tx/county:carson/school_district:panhandle_isd,panhandle isd
ocd-division/country:us/state:tx/county:carson/school_district:spring_creek_isd,spring creek isd
ocd-division/country:us/state:tx/county:carson/school_district:white_deer_isd,white deer isd
ocd-division/country:us/state:tx/county:cass/school_district:atlanta_isd,atlanta isd
ocd-division/country:us/state:tx/county:cass/school_district:avinger_isd,avinger isd
ocd-division/country:us/state:tx/county:cass/school_district:bloomburg_isd,bloomburg isd
ocd-division/country:us/state:tx/county:cass/school_district:hughes_springs_isd,hughes springs isd
ocd-division/country:us/state:tx/county:cass/school_district:linden-kildare_cisd,linden-kildare cisd
