ocd-division/country:us/state:tx/place:arlington/council_district:1,Arlington TX City Council district 1
ocd-division/country:us/state:tx/place:arlington/council_district:2,Arlington TX City Council district 2
ocd-division/country:us/state:tx/place:arlington/council_district:3,Arlington TX City Council district 3
ocd-division/country:us/state:tx/place:arlington/council_district:4,Arlington TX City Council district 4
ocd-division/country:us/state:tx/place:arlington/council_district:5,Arlington TX City Council district 5
ocd-division/country:us/state:tx/place:el_paso/council_district:1,El Paso TX City Council district 1
ocd-division/country:us/state:tx/place:el_paso/council_district:2,El Paso TX City Council district 2
ocd-division/country:us/state:tx/place:el_paso/council_district:3,El Paso TX City Council district 3
ocd-division/country:us/state:tx/place:el_paso/council_district:4,El Paso TX City Council district 4
ocd-division/country:us/state:tx/place:el_paso/council_district:5,El Paso TX City Council district 5
ocd-division/country:us/state:tx/place:el_paso/council_district:6,El Paso TX City Council district 6
ocd-division/country:us/state:tx/place:el_paso/council_district:7,El Paso TX City Council district 7
ocd-division/country:us/state:tx/place:el_paso/council_district:8,El Paso TX City Council district 8
ocd-division/country:us/state:tx/place:fort_worth/council_district:2,Fort Worth TX City Council district 2
ocd-division/country:us/state:tx/place:fort_worth/council_district:3,Fort Worth TX City Council district 3
ocd-division/country:us/state:tx/place:fort_worth/council_district:4,Fort Worth TX City Council district 4
ocd-division/country:us/state:tx/place:fort_worth/council_district:5,Fort Worth TX City Council district 5
ocd-division/country:us/state:tx/place:fort_worth/council_district:6,Fort Worth TX City Council district 6
ocd-division/country:us/state:tx/place:fort_worth/council_district:7,Fort Worth TX City Council district 7
ocd-division/country:us/state:tx/place:fort_worth/council_district:8,Fort Worth TX City Council district 8
ocd-division/country:us/state:tx/place:fort_worth/council_district:9,Fort Worth TX City Council district 9
ocd-division/country:us/state:tx/place:dallas/council_district:1,Dallas TX city council district 1
ocd-division/country:us/state:tx/place:dallas/council_district:2,Dallas TX city council district 2
ocd-division/country:us/state:tx/place:dallas/council_district:3,Dallas TX city council district 3
ocd-division/country:us/state:tx/place:dallas/council_district:4,Dallas TX city council district 4
ocd-division/country:us/state:tx/place:dallas/council_district:5,Dallas TX city council district 5
ocd-division/country:us/state:tx/place:dallas/council_district:6,Dallas TX city council district 6
ocd-division/country:us/state:tx/place:dallas/council_district:7,Dallas TX city council district 7
ocd-division/country:us/state:tx/place:dallas/council_district:8,Dallas TX city council district 8
ocd-division/country:us/state:tx/place:dallas/council_district:9,Dallas TX city council district 9
ocd-division/country:us/state:tx/place:dallas/council_district:10,Dallas TX city council district 10
ocd-division/country:us/state:tx/place:dallas/council_district:11,Dallas TX city council district 11
ocd-division/country:us/state:tx/place:dallas/council_district:12,Dallas TX city council district 12
ocd-division/country:us/state:tx/place:dallas/council_district:13,Dallas TX city council district 13
ocd-division/country:us/state:tx/place:dallas/council_district:14,Dallas TX city council district 14
ocd-division/country:us/state:tx/place:houston/council_district:a,Houston TX city council district A
