ocd-division/country:us/state:va/county:accomack/school_district:accomack_co_pblc_schs,accomack co pblc schs
ocd-division/country:us/state:va/county:albemarle/school_district:charlottesville-albemarle_tech,charlottesville-albemarle tech
ocd-division/country:us/state:va/county:albemarle/school_district:piedmont_regional_ed.,piedmont regional ed.
ocd-division/country:us/state:va/county:albemarle/school_district:university_of_va,university of va
ocd-division/country:us/state:va/place:alexandria/school_district:alexandria_city_pblc_schs,alexandria city pblc schs
ocd-division/country:us/state:va/county:alleghany/school_district:alleghany_co_pblc_schs,alleghany co pblc schs
ocd-division/country:us/state:va/county:alleghany/school_district:jackson_river_governor~s_school,jackson river governor's school
ocd-division/country:us/state:va/county:alleghany/school_district:jackson_river_tech_ctr,jackson river tech ctr
ocd-division/country:us/state:va/county:amelia/school_district:amelia_co_pblc_schs,amelia co pblc schs
ocd-division/country:us/state:va/county:amelia/school_district:amelia-nottoway_voc_ctr,amelia-nottoway voc ctr
ocd-division/country:us/state:va/county:amelia/school_district:piedmont_alternative_school,piedmont alternative school
ocd-division/country:us/state:va/county:amherst/school_district:amherst_co_pblc_schs,amherst co pblc schs
ocd-division/country:us/state:va/county:amherst/school_district:cent_va_train_ct,cent va train ct
ocd-division/country:us/state:va/county:appomattox/school_district:appomattox_co_pblc_schs,appomattox co pblc schs
ocd-division/country:us/state:va/county:arlington/school_district:arlington_co_pblc_schs,arlington co pblc schs
ocd-division/country:us/state:va/county:augusta/school_district:augusta_co_pblc_schs,augusta co pblc schs
ocd-division/country:us/state:va/county:augusta/school_district:shenandoah_valley_governors_school,shenandoah valley governors school
ocd-division/country:us/state:va/county:augusta/school_district:shenandoah_valley_reg,shenandoah valley reg
ocd-division/country:us/state:va/county:augusta/school_district:shenandoah_valley_reg_alternative_ed~genesis,shenandoah valley reg alternative ed/genesis
ocd-division/country:us/state:va/county:augusta/school_district:valley_vocational_tech,valley vocational tech
ocd-division/country:us/state:va/county:augusta/school_district:w._wilson_rehab,w. wilson rehab
ocd-division/country:us/state:va/county:bath/school_district:bath_co_pblc_schs,bath co pblc schs
ocd-division/country:us/state:va/place:bedford/school_district:bedford_city_pblc_schs,bedford city pblc schs
ocd-division/country:us/state:va/place:bedford/school_district:bedford_co_pblc_schs,bedford co pblc schs
ocd-division/country:us/state:va/county:bland/school_district:bland_co_pblc_schs,bland co pblc schs
ocd-division/country:us/state:va/county:botetourt/school_district:botetourt_co_pblc_schs,botetourt co pblc schs
ocd-division/country:us/state:va/county:botetourt/school_district:roanoke_valley_regional_board,roanoke valley regional board
ocd-division/country:us/state:va/place:bristol/school_district:bristol_city_pblc_schs,bristol city pblc schs
ocd-division/country:us/state:va/place:bristol/school_district:crossroads_alternative~bristol_city,crossroads alternative/bristol city
ocd-division/country:us/state:va/county:brunswick/school_district:brunswick_co_pblc_schs,brunswick co pblc schs
ocd-division/country:us/state:va/county:brunswick/school_district:southside_l.i.n.k._project~brunswick_co,southside l.i.n.k. project/brunswick co
ocd-division/country:us/state:va/county:buchanan/school_district:buchanan_co_pblc_schs,buchanan co pblc schs
ocd-division/country:us/state:va/county:buckingham/school_district:buckingham_co_pblc_schs,buckingham co pblc schs
ocd-division/country:us/state:va/place:buena_vista/school_district:buena_vista_city_pblc_schs,buena vista city pblc schs
ocd-division/country:us/state:va/place:buena_vista/school_district:reg_alt_ed_center~buena_vista,reg alt ed center/buena vista
ocd-division/country:us/state:va/county:campbell/school_district:campbell_co_pblc_schs,campbell co pblc schs
ocd-division/country:us/state:va/county:caroline/school_district:caroline_co_pblc_schs,caroline co pblc schs
ocd-division/country:us/state:va/county:carroll/school_district:carroll_co_pblc_schs,carroll co pblc schs
ocd-division/country:us/state:va/county:carroll/school_district:carroll-galax_reg_alt_ed_prgm~the_rae_center,carroll-galax reg alt ed prgm/the rae center
ocd-division/country:us/state:va/county:carroll/school_district:s.west_va_trn_ct,s.west va trn ct
ocd-division/country:us/state:va/county:charles_city/school_district:charles_city_co_pblc_schs,charles city co pblc schs
ocd-division/country:us/state:va/county:charlotte/school_district:charlotte_co_pblc_schs,charlotte co pblc schs
ocd-division/country:us/state:va/county:charlotte/school_district:gov_sch_global_economics~tech,gov sch global economics/tech
ocd-division/country:us/state:va/place:charlottesville/school_district:albemarle_co_pblc_schs,albemarle co pblc schs
ocd-division/country:us/state:va/place:charlottesville/school_district:charlottesville_cty_pblc_schs,charlottesville cty pblc schs
ocd-division/country:us/state:va/place:chesapeake/school_district:chesapeake_city_pblc_schs,chesapeake city pblc schs
ocd-division/country:us/state:va/place:chesapeake/school_district:s.east_va_trn_ct,s.east va trn ct
ocd-division/country:us/state:va/county:chesterfield/school_district:chesterfield_co_pblc_schs,chesterfield co pblc schs
ocd-division/country:us/state:va/county:clarke/school_district:clarke_co_pblc_schs,clarke co pblc schs
ocd-division/country:us/state:va/place:colonial_heights/school_district:colonial_heights_city_pblc_schs,colonial heights city pblc schs
ocd-division/country:us/state:va/place:covington/school_district:covington_city_pblc_schs,covington city pblc schs
ocd-division/country:us/state:va/county:craig/school_district:craig_co_pblc_schs,craig co pblc schs
ocd-division/country:us/state:va/county:culpeper/school_district:culpeper_co_pblc_schs,culpeper co pblc schs
ocd-division/country:us/state:va/county:cumberland/school_district:cumberland_co_pblc_schs,cumberland co pblc schs
ocd-division/country:us/state:va/place:danville/school_district:danville_city_pblc_schs,danville city pblc schs
ocd-division/country:us/state:va/county:dickenson/school_district:dickenson_co_pblc_schs,dickenson co pblc schs
ocd-division/country:us/state:va/county:dinwiddie/school_district:central_st_hosp,central st hosp
ocd-division/country:us/state:va/county:dinwiddie/school_district:dinwiddie_co_pblc_schs,dinwiddie co pblc schs
ocd-division/country:us/state:va/county:dinwiddie/school_district:s.side_va_trn_ct,s.side va trn ct
