Addison County,ocd-division/country:us/state:vt/county:addison
Bennington County,ocd-division/country:us/state:vt/county:bennington
Caledonia County,ocd-division/country:us/state:vt/county:caledonia
Chittenden County,ocd-division/country:us/state:vt/county:chittenden
Essex County,ocd-division/country:us/state:vt/county:essex
Franklin County,ocd-division/country:us/state:vt/county:franklin
Grand Isle County,ocd-division/country:us/state:vt/county:grand_isle
Lamoille County,ocd-division/country:us/state:vt/county:lamoille
Orange County,ocd-division/country:us/state:vt/county:orange
Orleans County,ocd-division/country:us/state:vt/county:orleans
Rutland County,ocd-division/country:us/state:vt/county:rutland
Washington County,ocd-division/country:us/state:vt/county:washington
Windham County,ocd-division/country:us/state:vt/county:windham
Windsor County,ocd-division/country:us/state:vt/county:windsor
Addison town,ocd-division/country:us/state:vt/place:addison
Albany town,ocd-division/country:us/state:vt/place:albany_town
Albany village,ocd-division/country:us/state:vt/place:albany_village
Alburg town,ocd-division/country:us/state:vt/place:alburg_town
Alburg village,ocd-division/country:us/state:vt/place:alburg_village
Andover town,ocd-division/country:us/state:vt/place:andover
Arlington town,ocd-division/country:us/state:vt/place:arlington
Athens town,ocd-division/country:us/state:vt/place:athens
Bakersfield town,ocd-division/country:us/state:vt/place:bakersfield
Baltimore town,ocd-division/country:us/state:vt/place:baltimore
Barnard town,ocd-division/country:us/state:vt/place:barnard
Barnet town,ocd-division/country:us/state:vt/place:barnet
Barre city,ocd-division/country:us/state:vt/place:barre_city
Barre town,ocd-division/country:us/state:vt/place:barre_town
Barton town,ocd-division/country:us/state:vt/place:barton_town
Barton village,ocd-division/country:us/state:vt/place:barton_village
Bellows Falls village,ocd-division/country:us/state:vt/place:bellows_falls
Belvidere town,ocd-division/country:us/state:vt/place:belvidere
Bennington town,ocd-division/country:us/state:vt/place:bennington
Benson town,ocd-division/country:us/state:vt/place:benson
Berkshire town,ocd-division/country:us/state:vt/place:berkshire
Berlin town,ocd-division/country:us/state:vt/place:berlin
Bethel town,ocd-division/country:us/state:vt/place:bethel
Bloomfield town,ocd-division/country:us/state:vt/place:bloomfield
Bolton town,ocd-division/country:us/state:vt/place:bolton
Bradford town,ocd-division/country:us/state:vt/place:bradford
Braintree town,ocd-division/country:us/state:vt/place:braintree
Brandon town,ocd-division/country:us/state:vt/place:brandon
Brattleboro town,ocd-division/country:us/state:vt/place:brattleboro
Bridgewater town,ocd-division/country:us/state:vt/place:bridgewater
Bridport town,ocd-division/country:us/state:vt/place:bridport
Brighton town,ocd-division/country:us/state:vt/place:brighton
Bristol town,ocd-division/country:us/state:vt/place:bristol
Brookfield town,ocd-division/country:us/state:vt/place:brookfield
Brookline town,ocd-division/country:us/state:vt/place:brookline
Brownington town,ocd-division/country:us/state:vt/place:brownington
Brunswick town,ocd-division/country:us/state:vt/place:brunswick
Burke town,ocd-division/country:us/state:vt/place:burke
Burlington city,ocd-division/country:us/state:vt/place:burlington
Cabot town,ocd-division/country:us/state:vt/place:cabot_town
Cabot village,ocd-division/country:us/state:vt/place:cabot_village
Calais town,ocd-division/country:us/state:vt/place:calais
Cambridge town,ocd-division/country:us/state:vt/place:cambridge_town
Cambridge village,ocd-division/country:us/state:vt/place:cambridge_village
Canaan town,ocd-division/country:us/state:vt/place:canaan
Castleton town,ocd-division/country:us/state:vt/place:castleton
Cavendish town,ocd-division/country:us/state:vt/place:cavendish
Charleston town,ocd-division/country:us/state:vt/place:charleston
Charlotte town,ocd-division/country:us/state:vt/place:charlotte
Chelsea town,ocd-division/country:us/state:vt/place:chelsea
Chester town,ocd-division/country:us/state:vt/place:chester
Chittenden town,ocd-division/country:us/state:vt/place:chittenden
Clarendon town,ocd-division/country:us/state:vt/place:clarendon
Colchester town,ocd-division/country:us/state:vt/place:colchester
Concord town,ocd-division/country:us/state:vt/place:concord
Corinth town,ocd-division/country:us/state:vt/place:corinth
Cornwall town,ocd-division/country:us/state:vt/place:cornwall
Coventry town,ocd-division/country:us/state:vt/place:coventry
Craftsbury town,ocd-division/country:us/state:vt/place:craftsbury
Danby town,ocd-division/country:us/state:vt/place:danby
Danville town,ocd-division/country:us/state:vt/place:danville
Derby town,ocd-division/country:us/state:vt/place:derby
Derby Center village,ocd-division/country:us/state:vt/place:derby_center
Derby Line village,ocd-division/country:us/state:vt/place:derby_line
Dorset town,ocd-division/country:us/state:vt/place:dorset
Dover town,ocd-division/country:us/state:vt/place:dover
Dummerston town,ocd-division/country:us/state:vt/place:dummerston
Duxbury town,ocd-division/country:us/state:vt/place:duxbury
East Haven town,ocd-division/country:us/state:vt/place:east_haven
East Montpelier town,ocd-division/country:us/state:vt/place:east_montpelier
Eden town,ocd-division/country:us/state:vt/place:eden
Elmore town,ocd-division/country:us/state:vt/place:elmore
Enosburg town,ocd-division/country:us/state:vt/place:enosburg
Enosburg Falls village,ocd-division/country:us/state:vt/place:enosburg_falls
Essex town,ocd-division/country:us/state:vt/place:essex
Essex Junction village,ocd-division/country:us/state:vt/place:essex_junction
Fair Haven town,ocd-division/country:us/state:vt/place:fair_haven
Fairfax town,ocd-division/country:us/state:vt/place:fairfax
Fairfield town,ocd-division/country:us/state:vt/place:fairfield
Fairlee town,ocd-division/country:us/state:vt/place:fairlee
Fayston town,ocd-division/country:us/state:vt/place:fayston
Ferrisburgh town,ocd-division/country:us/state:vt/place:ferrisburgh
Fletcher town,ocd-division/country:us/state:vt/place:fletcher
Franklin town,ocd-division/country:us/state:vt/place:franklin
Georgia town,ocd-division/country:us/state:vt/place:georgia
Glover town,ocd-division/country:us/state:vt/place:glover
Goshen town,ocd-division/country:us/state:vt/place:goshen
Grafton town,ocd-division/country:us/state:vt/place:grafton
Granby town,ocd-division/country:us/state:vt/place:granby
Grand Isle town,ocd-division/country:us/state:vt/place:grand_isle
Granville town,ocd-division/country:us/state:vt/place:granville
Greensboro town,ocd-division/country:us/state:vt/place:greensboro
Groton town,ocd-division/country:us/state:vt/place:groton
