ocd-division/country:us/state:wa/place:spokane/council_district:1,Spokane WA City Council district 1
ocd-division/country:us/state:wa/place:spokane/council_district:2,Spokane WA City Council district 2
ocd-division/country:us/state:wa/place:spokane/council_district:3,Spokane WA City Council district 3
ocd-division/country:us/state:wa/place:tacoma/council_district:1,Tacoma WA City Council district 1
ocd-division/country:us/state:wa/place:tacoma/council_district:2,Tacoma WA City Council district 2
ocd-division/country:us/state:wa/place:tacoma/council_district:3,Tacoma WA City Council district 3
ocd-division/country:us/state:wa/place:tacoma/council_district:4,Tacoma WA City Council district 4
ocd-division/country:us/state:wa/place:tacoma/council_district:5,Tacoma WA City Council district 5
ocd-division/country:us/state:wa/county:clark/council_district:1,Clark County WA County Commissioner District 1
ocd-division/country:us/state:wa/county:clark/council_district:2,Clark County WA County Commissioner District 2
ocd-division/country:us/state:wa/county:clark/council_district:3,Clark County WA County Commissioner District 3
ocd-division/country:us/state:wa/county:king/council_district:1,King County WA County Council District 1
ocd-division/country:us/state:wa/county:king/council_district:2,King County WA County Council District 2
ocd-division/country:us/state:wa/county:king/council_district:3,King County WA County Council District 3
ocd-division/country:us/state:wa/county:king/council_district:4,King County WA County Council District 4
ocd-division/country:us/state:wa/county:king/council_district:5,King County WA County Council District 5
ocd-division/country:us/state:wa/county:king/council_district:6,King County WA County Council District 6
ocd-division/country:us/state:wa/county:king/council_district:7,King County WA County Council District 7
ocd-division/country:us/state:wa/county:king/council_district:8,King County WA County Council District 8
ocd-division/country:us/state:wa/county:king/council_district:9,King County WA County Council District 9
ocd-division/country:us/state:wa/county:kitsap/council_district:1,Kitsap County WA County Commissioner District 1
ocd-division/country:us/state:wa/county:kitsap/council_district:2,Kitsap County WA County Commissioner District 2
ocd-division/country:us/state:wa/county:kitsap/council_district:3,Kitsap County WA County Commissioner District 3
ocd-division/country:us/state:wa/county:pierce/council_district:1,Pierce County WA County Council District 1
ocd-division/country:us/state:wa/county:pierce/council_district:2,Pierce County WA County Council District 2
ocd-division/country:us/state:wa/county:pierce/council_district:3,Pierce County WA County Council District 3
ocd-division/country:us/state:wa/county:pierce/council_district:4,Pierce County WA County Council District 4
ocd-division/country:us/state:wa/county:pierce/council_district:5,Pierce County WA County Council District 5
ocd-division/country:us/state:wa/county:pierce/council_district:6,Pierce County WA County Council District 6
ocd-division/country:us/state:wa/county:pierce/council_district:7,Pierce County WA County Council District 7
ocd-division/country:us/state:wa/county:snohomish/council_district:1,Snohomish County WA County Council District 1
ocd-division/country:us/state:wa/county:snohomish/council_district:2,Snohomish County WA County Council District 2
ocd-division/country:us/state:wa/county:snohomish/council_district:3,Snohomish County WA County Council District 3
ocd-division/country:us/state:wa/county:snohomish/council_district:4,Snohomish County WA County Council District 4
ocd-division/country:us/state:wa/county:snohomish/council_district:5,Snohomish County WA County Council District 5
ocd-division/country:us/state:wa/county:spokane/council_district:1,Spokane County WA County Commissioner District 1
ocd-division/country:us/state:wa/county:spokane/council_district:2,Spokane County WA County Commissioner District 2
ocd-division/country:us/state:wa/county:spokane/council_district:3,Spokane County WA County Commissioner District 3
ocd-division/country:us/state:wa/county:thurston/council_district:1,Thurston County WA Board of County Commissioners District 1
ocd-division/country:us/state:wa/county:thurston/council_district:2,Thurston County WA Board of County Commissioners District 2
ocd-division/country:us/state:wa/county:thurston/council_district:3,Thurston County WA Board of County Commissioners District 3
