id,name
ocd-division/country:us/state:ks/board_of_education:1,Kansas State Board of Education District 1
ocd-division/country:us/state:ks/board_of_education:2,Kansas State Board of Education District 2
ocd-division/country:us/state:ks/board_of_education:3,Kansas State Board of Education District 3
ocd-division/country:us/state:ks/board_of_education:4,Kansas State Board of Education District 4
ocd-division/country:us/state:ks/board_of_education:5,Kansas State Board of Education District 5
ocd-division/country:us/state:ks/board_of_education:6,Kansas State Board of Education District 6
ocd-division/country:us/state:ks/board_of_education:7,Kansas State Board of Education District 7
ocd-division/country:us/state:ks/board_of_education:8,Kansas State Board of Education District 8
ocd-division/country:us/state:ks/board_of_education:9,Kansas State Board of Education District 9
ocd-division/country:us/state:ks/board_of_education:10,Kansas State Board of Education District 10
ocd-division/country:us/state:la/board_of_education:1,Louisiana Board of Elementary and Secondary Education District 1
ocd-division/country:us/state:la/board_of_education:2,Louisiana Board of Elementary and Secondary Education District 2
ocd-division/country:us/state:la/board_of_education:3,Louisiana Board of Elementary and Secondary Education District 3
ocd-division/country:us/state:la/board_of_education:4,Louisiana Board of Elementary and Secondary Education District 4
ocd-division/country:us/state:la/board_of_education:5,Louisiana Board of Elementary and Secondary Education District 5
ocd-division/country:us/state:la/board_of_education:6,Louisiana Board of Elementary and Secondary Education District 6
ocd-division/country:us/state:la/board_of_education:7,Louisiana Board of Elementary and Secondary Education District 7
ocd-division/country:us/state:la/board_of_education:8,Louisiana Board of Elementary and Secondary Education District 8
ocd-division/country:us/state:nm/board_of_education:1,New Mexico Public Education Commission District 1
ocd-division/country:us/state:nm/board_of_education:2,New Mexico Public Education Commission District 2
ocd-division/country:us/state:nm/board_of_education:3,New Mexico Public Education Commission District 3
ocd-division/country:us/state:nm/board_of_education:4,New Mexico Public Education Commission District 4
ocd-division/country:us/state:nm/board_of_education:5,New Mexico Public Education Commission District 5
ocd-division/country:us/state:nm/board_of_education:6,New Mexico Public Education Commission District 6
ocd-division/country:us/state:nm/board_of_education:7,New Mexico Public Education Commission District 7
ocd-division/country:us/state:nm/board_of_education:8,New Mexico Public Education Commission District 8
ocd-division/country:us/state:nm/board_of_education:9,New Mexico Public Education Commission District 9
ocd-division/country:us/state:nm/board_of_education:10,New Mexico Public Education Commission District 10
ocd-division/country:us/state:tx/board_of_education:1,Texas Board of Education District 1
ocd-division/country:us/state:tx/board_of_education:2,Texas Board of Education District 2
ocd-division/country:us/state:tx/board_of_education:3,Texas Board of Education District 3
ocd-division/country:us/state:tx/board_of_education:4,Texas Board of Education District 4
ocd-division/country:us/state:tx/board_of_education:5,Texas Board of Education District 5
ocd-division/country:us/state:tx/board_of_education:6,Texas Board of Education District 6
ocd-division/country:us/state:tx/board_of_education:7,Texas Board of Education District 7
ocd-division/country:us/state:tx/board_of_education:8,Texas Board of Education District 8
ocd-division/country:us/state:tx/board_of_education:9,Texas Board of Education District 9
ocd-division/country:us/state:tx/board_of_education:10,Texas Board of Education District 10
ocd-division/country:us/state:tx/board_of_education:11,Texas Board of Education District 11
ocd-division/country:us/state:tx/board_of_education:12,Texas Board of Education District 12
ocd-division/country:us/state:tx/board_of_education:13,Texas Board of Education District 13
ocd-division/country:us/state:tx/board_of_education:14,Texas Board of Education District 14
ocd-division/country:us/state:tx/board_of_education:15,Texas Board of Education District 15
ocd-division/country:us/state:ut/board_of_education:1,Utah State Board of Education District 1
ocd-division/country:us/state:ut/board_of_education:2,Utah State Board of Education District 2
ocd-division/country:us/state:ut/board_of_education:3,Utah State Board of Education District 3
ocd-division/country:us/state:ut/board_of_education:4,Utah State Board of Education District 4
ocd-division/country:us/state:ut/board_of_education:5,Utah State Board of Education District 5
ocd-division/country:us/state:ut/board_of_education:6,Utah State Board of Education District 6
ocd-division/country:us/state:ut/board_of_education:7,Utah State Board of Education District 7
ocd-division/country:us/state:ut/board_of_education:8,Utah State Board of Education District 8
ocd-division/country:us/state:ut/board_of_education:9,Utah State Board of Education District 9
ocd-division/country:us/state:ut/board_of_education:10,Utah State Board of Education District 10
ocd-division/country:us/state:ut/board_of_education:11,Utah State Board of Education District 11
ocd-division/country:us/state:ut/board_of_education:12,Utah State Board of Education District 12
ocd-division/country:us/state:ut/board_of_education:13,Utah State Board of Education District 13
ocd-division/country:us/state:ut/board_of_education:14,Utah State Board of Education District 14
ocd-division/country:us/state:ut/board_of_education:15,Utah State Board of Education District 15
