division_id,name,census_geoid
ocd-division/country:us/state:ak/borough:aleutians_east,Aleutians East Borough,02013
ocd-division/country:us/state:ak/borough:anchorage,Anchorage Municipality,02020
ocd-division/country:us/state:ak/borough:bristol_bay,Bristol Bay Borough,02060
ocd-division/country:us/state:ak/borough:denali,Denali Borough,02068
ocd-division/country:us/state:ak/borough:fairbanks_north_star,Fairbanks North Star Borough,02090
ocd-division/country:us/state:ak/borough:haines,Haines Borough,02100
ocd-division/country:us/state:ak/borough:juneau,Juneau City and Borough,02110
ocd-division/country:us/state:ak/borough:kenai_peninsula,Kenai Peninsula Borough,02122
ocd-division/country:us/state:ak/borough:ketchikan_gateway,Ketchikan Gateway Borough,02130
ocd-division/country:us/state:ak/borough:kodiak_island,Kodiak Island Borough,02150
ocd-division/country:us/state:ak/borough:lake_and_peninsula,Lake and Peninsula Borough,02164
ocd-division/country:us/state:ak/borough:matanuska-susitna,Matanuska-Susitna Borough,02170
ocd-division/country:us/state:ak/borough:north_slope,North Slope Borough,02185
ocd-division/country:us/state:ak/borough:northwest_arctic,Northwest Arctic Borough,02188
ocd-division/country:us/state:ak/borough:sitka,Sitka City and Borough,02220
ocd-division/country:us/state:ak/borough:skagway,Skagway Municipality,02230
ocd-division/country:us/state:ak/borough:wrangell,Wrangell City and Borough,02275
ocd-division/country:us/state:ak/borough:yakutat,Yakutat City and Borough,02282
ocd-division/country:us/state:ak/census_area:aleutians_west,Aleutians West Census Area,02016
ocd-division/country:us/state:ak/census_area:bethel,Bethel Census Area,02050
ocd-division/country:us/state:ak/census_area:dillingham,Dillingham Census Area,02070
ocd-division/country:us/state:ak/census_area:hoonah-angoon,Hoonah-Angoon Census Area,02105
ocd-division/country:us/state:ak/census_area:nome,Nome Census Area,02180
ocd-division/country:us/state:ak/census_area:petersburg,Petersburg Census Area,02195
ocd-division/country:us/state:ak/census_area:prince_of_wales-hyder,Prince of Wales-Hyder Census Area,02198
ocd-division/country:us/state:ak/census_area:southeast_fairbanks,Southeast Fairbanks Census Area,02240
ocd-division/country:us/state:ak/census_area:valdez-cordova,Valdez-Cordova Census Area,02261
ocd-division/country:us/state:ak/census_area:wade_hampton,Wade Hampton Census Area,02270
ocd-division/country:us/state:ak/census_area:yukon-koyukuk,Yukon-Koyukuk Census Area,02290
ocd-division/country:us/state:ak/place:adak,Adak city,0200065
ocd-division/country:us/state:ak/place:akhiok,Akhiok city,0200650
ocd-division/country:us/state:ak/place:akiak,Akiak city,0200870
ocd-division/country:us/state:ak/place:akutan,Akutan city,0201090
ocd-division/country:us/state:ak/place:alakanuk,Alakanuk city,0201200
ocd-division/country:us/state:ak/place:aleknagik,Aleknagik city,0201420
ocd-division/country:us/state:ak/place:allakaket,Allakaket city,0201860
ocd-division/country:us/state:ak/place:ambler,Ambler city,0201970
ocd-division/country:us/state:ak/place:anaktuvuk_pass,Anaktuvuk Pass city,0202080
ocd-division/country:us/state:ak/place:anderson,Anderson city,0203220
