id,sch_dist_stateid,census_geoid
ocd-division/country:us/district:dc/school_district:achievement_preparatory_academy_pcs,155,1100072
ocd-division/country:us/district:dc/school_district:appletree_early_learning_center_pcs,103,1100054
ocd-division/country:us/district:dc/school_district:arts_and_technology_pcs,104,1100001
ocd-division/country:us/district:dc/school_district:booker_t._washington_pcs,106,1100003
ocd-division/country:us/district:dc/school_district:bridges_pcs,107,1100055
ocd-division/country:us/district:dc/school_district:capital_city_pcs,108,1100035
ocd-division/country:us/district:dc/school_district:carlos_rosario_international_pcs,162,1100004
ocd-division/country:us/district:dc/school_district:center_city_pcs,156,1100073
ocd-division/country:us/district:dc/school_district:cesar_chavez_public_pcs,109,1100005
ocd-division/country:us/district:dc/school_district:community_academy_pcs,113,1100007
ocd-division/country:us/district:dc/school_district:d.c._bilingual_pcs,114,1100042
ocd-division/country:us/district:dc/school_district:d.c._preparatory_academy_pcs,115,1100048
ocd-division/country:us/district:dc/school_district:district_of_columbia_public_schools,001,1100030
ocd-division/country:us/district:dc/school_district:e.l._haynes_pcs,116,1100043
ocd-division/country:us/district:dc/school_district:eagle_academy_pcs,117,1100049
ocd-division/country:us/district:dc/school_district:early_childhood_academy_pcs,118,1100057
ocd-division/country:us/district:dc/school_district:education_strenghtens_families_pcs,119,1100016
ocd-division/country:us/district:dc/school_district:elsie_whitlow_stokes_communtiy_freedom_pcs,144,1100009
ocd-division/country:us/district:dc/school_district:excel_academy_pcs,158,1100076
ocd-division/country:us/district:dc/school_district:friendship_pcs,120,1100008
ocd-division/country:us/district:dc/school_district:hope_community_academy_pcs,121,1100051
ocd-division/country:us/district:dc/school_district:hospitality_pcs,122,1100010
ocd-division/country:us/district:dc/school_district:howard_road_academy_pcs,123,1100029
ocd-division/country:us/district:dc/school_district:howard_university_middle_school_of_math_and_science,124,1100058
ocd-division/country:us/district:dc/school_district:hyde_leadership_pcs,125,1100011
ocd-division/country:us/district:dc/school_district:ideal_academy_pcs,127,1100012
ocd-division/country:us/district:dc/school_district:imagine_southeast_pcs,159,1100074
ocd-division/country:us/district:dc/school_district:integrated_design_electronics_academy_idea,126,1100013
ocd-division/country:us/district:dc/school_district:kipp_academy_pcs,129,1100031
ocd-division/country:us/district:dc/school_district:latin_america_youth_bilingual_montessori,130,1100032
ocd-division/country:us/district:dc/school_district:mary_mcleod_bethune_pcs,132,1100044
ocd-division/country:us/district:dc/school_district:maya_angelou_pcs,133,1100014
ocd-division/country:us/district:dc/school_district:meridian_pcs,135,1100015
ocd-division/country:us/district:dc/school_district:national_collegiate_prep,163,1100079
ocd-division/country:us/district:dc/school_district:nia_community_pcs,136,1100070
ocd-division/country:us/district:dc/school_district:options_pcs,137,1100018
ocd-division/country:us/district:dc/school_district:paul_jhs_pcs,138,1100039
ocd-division/country:us/district:dc/school_district:potomac_lighthouse_pcs,139,1100060
ocd-division/country:us/district:dc/school_district:roots_pcs,140,1100020
ocd-division/country:us/district:dc/school_district:school_for_arts_in_learning_pcs_sail,141,1100021
ocd-division/country:us/district:dc/school_district:seed_pcs,142,1100022
ocd-division/country:us/district:dc/school_district:septima_clark_pcs,161,1100066
ocd-division/country:us/district:dc/school_district:st._coletta_special_education_pcs,143,1100064
ocd-division/country:us/district:dc/school_district:state_operative_agency,4001,1100078
