ocd-division/country:us/state:ak/borough:aleutians_east/school_district:aleutians_east_borough_school_district,aleutians east borough school district
ocd-division/country:us/state:ak/census_area:aleutians_west/school_district:pribilof_school_district,pribilof school district
ocd-division/country:us/state:ak/census_area:aleutians_west/school_district:unalaska_city_school_district,unalaska city school district
ocd-division/country:us/state:ak/borough:anchorage/school_district:aleutian_region_school_district,aleutian region school district
ocd-division/country:us/state:ak/borough:anchorage/school_district:anchorage_school_district,anchorage school district
ocd-division/country:us/state:ak/borough:anchorage/school_district:chugach_school_district,chugach school district
ocd-division/country:us/state:ak/census_area:bethel/school_district:kuspuk_school_district,kuspuk school district
ocd-division/country:us/state:ak/census_area:bethel/school_district:lower_kuskokwim_school_district,lower kuskokwim school district
ocd-division/country:us/state:ak/census_area:bethel/school_district:yupiit_school_district,yupiit school district
ocd-division/country:us/state:ak/borough:bristol_bay/school_district:bristol_bay_borough_school_district,bristol bay borough school district
ocd-division/country:us/state:ak/borough:bristol_bay/school_district:lake_and_peninsula_borough_school_district,lake and peninsula borough school district
ocd-division/country:us/state:ak/borough:denali/school_district:denali_borough_school_district,denali borough school district
ocd-division/country:us/state:ak/census_area:dillingham/school_district:dillingham_city_school_district,dillingham city school district
ocd-division/country:us/state:ak/census_area:dillingham/school_district:southwest_region_school_district,southwest region school district
ocd-division/country:us/state:ak/borough:fairbanks_north_star/school_district:fairbanks_north_star_borough_school_district,fairbanks north star borough school district
ocd-division/country:us/state:ak/borough:fairbanks_north_star/school_district:yukon~koyukuk_school_district,yukon/koyukuk school district
ocd-division/country:us/state:ak/borough:haines/school_district:haines_borough_school_district,haines borough school district
ocd-division/country:us/state:ak/census_area:hoonah-angoon/school_district:chatham_school_district,chatham school district
ocd-division/country:us/state:ak/census_area:hoonah-angoon/school_district:hoonah_city_school_district,hoonah city school district
ocd-division/country:us/state:ak/census_area:hoonah-angoon/school_district:pelican_city_school_district,pelican city school district
ocd-division/country:us/state:ak/borough:juneau/school_district:juneau_borough_school_district,juneau borough school district
ocd-division/country:us/state:ak/borough:kenai_peninsula/school_district:kenai_peninsula_borough_school_district,kenai peninsula borough school district
ocd-division/country:us/state:ak/borough:ketchikan_gateway/school_district:ketchikan_gateway_borough_school_district,ketchikan gateway borough school district
ocd-division/country:us/state:ak/borough:kodiak_island/school_district:kodiak_island_borough_school_district,kodiak island borough school district
ocd-division/country:us/state:ak/borough:matanuska-susitna/school_district:matanuska-susitna_borough_school_district,matanuska-susitna borough school district
ocd-division/country:us/state:ak/census_area:nome/school_district:bering_strait_school_district,bering strait school district
ocd-division/country:us/state:ak/census_area:nome/school_district:nome_public_schools,nome public schools
ocd-division/country:us/state:ak/borough:north_slope/school_district:north_slope_borough_school_district,north slope borough school district
ocd-division/country:us/state:ak/borough:northwest_arctic/school_district:northwest_arctic_borough_school_district,northwest arctic borough school district
ocd-division/country:us/state:ak/census_area:petersburg/school_district:kake_city_school_district,kake city school district
ocd-division/country:us/state:ak/census_area:petersburg/school_district:petersburg_city_school_district,petersburg city school district
ocd-division/country:us/state:ak/census_area:prince_of_wales-hyder/school_district:annette_island_school_district,annette island school district
ocd-division/country:us/state:ak/census_area:prince_of_wales-hyder/school_district:craig_city_school_district,craig city school district
ocd-division/country:us/state:ak/census_area:prince_of_wales-hyder/school_district:hydaburg_city_school_district,hydaburg city school district
ocd-division/country:us/state:ak/census_area:prince_of_wales-hyder/school_district:klawock_city_school_district,klawock city school district
ocd-division/country:us/state:ak/census_area:prince_of_wales-hyder/school_district:southeast_island_school_district,southeast island school district
ocd-division/country:us/state:ak/borough:sitka/school_district:mount_edgecumbe_high_school_agency,mount edgecumbe high school agency
ocd-division/country:us/state:ak/borough:sitka/school_district:sitka_school_district,sitka school district
ocd-division/country:us/state:ak/borough:skagway/school_district:skagway_city_school_district,skagway city school district
ocd-division/country:us/state:ak/census_area:southeast_fairbanks/school_district:alaska_gateway_school_district,alaska gateway school district
ocd-division/country:us/state:ak/census_area:southeast_fairbanks/school_district:delta~greely_school_district,delta/greely school district
ocd-division/country:us/state:ak/census_area:valdez-cordova/school_district:copper_river_school_district,copper river school district
ocd-division/country:us/state:ak/census_area:valdez-cordova/school_district:cordova_city_school_district,cordova city school district
ocd-division/country:us/state:ak/census_area:valdez-cordova/school_district:valdez_city_school_district,valdez city school district
ocd-division/country:us/state:ak/census_area:wade_hampton/school_district:kashunamiut_school_district,kashunamiut school district
ocd-division/country:us/state:ak/census_area:wade_hampton/school_district:lower_yukon_school_district,lower yukon school district
ocd-division/country:us/state:ak/census_area:wade_hampton/school_district:saint_mary~s_school_district,saint mary's school district
ocd-division/country:us/state:ak/borough:wrangell/school_district:wrangell_public_school_district,wrangell public school district
ocd-division/country:us/state:ak/borough:yakutat/school_district:yakutat_school_district,yakutat school district
ocd-division/country:us/state:ak/census_area:yukon-koyukuk/school_district:galena_city_school_district,galena city school district
ocd-division/country:us/state:ak/census_area:yukon-koyukuk/school_district:iditarod_area_school_district,iditarod area school district
ocd-division/country:us/state:ak/census_area:yukon-koyukuk/school_district:nenana_city_school_district,nenana city school district
ocd-division/country:us/state:ak/census_area:yukon-koyukuk/school_district:tanana_city_school_district,tanana city school district
ocd-division/country:us/state:ak/census_area:yukon-koyukuk/school_district:yukon_flats_school_district,yukon flats school district
ocd-division/country:us/state:al/county:autauga/school_district:autauga_county,autauga county
ocd-division/country:us/state:al/county:baldwin/school_district:baldwin_county,baldwin county
ocd-division/country:us/state:al/county:barbour/school_district:barbour_county,barbour county
ocd-division/country:us/state:al/county:barbour/school_district:eufaula_city,eufaula city
ocd-division/country:us/state:al/county:bibb/school_district:bibb_county,bibb county
ocd-division/country:us/state:al/county:bibb/school_district:boyd_school,boyd school
ocd-division/country:us/state:al/county:blount/school_district:blount_county,blount county
ocd-division/country:us/state:al/county:blount/school_district:oneonta_city,oneonta city
ocd-division/country:us/state:al/county:bullock/school_district:bullock_county,bullock county
ocd-division/country:us/state:al/county:butler/school_district:butler_county,butler county
ocd-division/country:us/state:al/county:calhoun/school_district:anniston_city,anniston city
ocd-division/country:us/state:al/county:calhoun/school_district:calhoun_county,calhoun county
ocd-division/country:us/state:al/county:calhoun/school_district:jacksonville_city,jacksonville city
ocd-division/country:us/state:al/county:calhoun/school_district:oxford_city,oxford city
ocd-division/country:us/state:al/county:calhoun/school_district:piedmont_city,piedmont city
ocd-division/country:us/state:al/county:chambers/school_district:chambers_county,chambers county
ocd-division/country:us/state:al/county:chambers/school_district:lanett_city,lanett city
ocd-division/country:us/state:al/county:cherokee/school_district:cherokee_county,cherokee county
ocd-division/country:us/state:al/county:chilton/school_district:chilton_county,chilton county
ocd-division/country:us/state:al/county:choctaw/school_district:choctaw_county,choctaw county
ocd-division/country:us/state:al/county:clarke/school_district:clarke_county,clarke county
ocd-division/country:us/state:al/county:clarke/school_district:thomasville_city,thomasville city
ocd-division/country:us/state:al/county:clay/school_district:clay_county,clay county
ocd-division/country:us/state:al/county:cleburne/school_district:cleburne_county,cleburne county
ocd-division/country:us/state:al/county:coffee/school_district:coffee_county,coffee county
ocd-division/country:us/state:al/county:coffee/school_district:elba_city,elba city
ocd-division/country:us/state:al/county:coffee/school_district:enterprise_city,enterprise city
ocd-division/country:us/state:al/county:coffee/school_district:pathway_inc,pathway inc
ocd-division/country:us/state:al/county:colbert/school_district:colbert_county,colbert county
ocd-division/country:us/state:al/county:colbert/school_district:muscle_shoals_city,muscle shoals city
ocd-division/country:us/state:al/county:colbert/school_district:sheffield_city,sheffield city
ocd-division/country:us/state:al/county:colbert/school_district:tuscumbia_city,tuscumbia city
ocd-division/country:us/state:al/county:conecuh/school_district:compass_academy,compass academy
ocd-division/country:us/state:al/county:conecuh/school_district:conecuh_county,conecuh county
ocd-division/country:us/state:al/county:coosa/school_district:coosa_county,coosa county
ocd-division/country:us/state:al/county:covington/school_district:andalusia_city,andalusia city
ocd-division/country:us/state:al/county:covington/school_district:covington_county,covington county
ocd-division/country:us/state:al/county:covington/school_district:opp_city,opp city
ocd-division/country:us/state:al/county:crenshaw/school_district:crenshaw_county,crenshaw county
ocd-division/country:us/state:al/county:cullman/school_district:cullman_city,cullman city
ocd-division/country:us/state:al/county:cullman/school_district:cullman_county,cullman county
ocd-division/country:us/state:al/county:dale/school_district:dale_county,dale county
ocd-division/country:us/state:al/county:dale/school_district:daleville_city,daleville city
ocd-division/country:us/state:al/county:dale/school_district:ozark_city,ozark city
ocd-division/country:us/state:al/county:dallas/school_district:dallas_county,dallas county
ocd-division/country:us/state:al/county:dallas/school_district:selma_city,selma city
ocd-division/country:us/state:al/county:dekalb/school_district:dekalb_county,dekalb county
ocd-division/country:us/state:al/county:dekalb/school_district:fort_payne_city,fort payne city
ocd-division/country:us/state:al/county:elmore/school_district:elmore_county,elmore county
ocd-division/country:us/state:al/county:elmore/school_district:tallassee_city,tallassee city
ocd-division/country:us/state:al/county:escambia/school_district:brewton_city,brewton city
ocd-division/country:us/state:al/county:escambia/school_district:compass_school,compass school
ocd-division/country:us/state:al/county:escambia/school_district:escambia_county,escambia county
ocd-division/country:us/state:al/county:etowah/school_district:attalla_city,attalla city
ocd-division/country:us/state:al/county:etowah/school_district:etowah_academy,etowah academy
ocd-division/country:us/state:al/county:etowah/school_district:etowah_county,etowah county
ocd-division/country:us/state:al/county:etowah/school_district:excel_institute,excel institute
ocd-division/country:us/state:al/county:etowah/school_district:gadsden_city,gadsden city
ocd-division/country:us/state:al/county:etowah/school_district:the_bridge_ii,the bridge ii
ocd-division/country:us/state:al/county:fayette/school_district:fayette_county,fayette county
ocd-division/country:us/state:al/county:franklin/school_district:franklin_county,franklin county
ocd-division/country:us/state:al/county:franklin/school_district:russellville_city,russellville city
ocd-division/country:us/state:al/county:geneva/school_district:geneva_city,geneva city
ocd-division/country:us/state:al/county:geneva/school_district:geneva_county,geneva county
ocd-division/country:us/state:al/county:greene/school_district:greene_county,greene county
ocd-division/country:us/state:al/county:hale/school_district:hale_county,hale county
ocd-division/country:us/state:al/county:henry/school_district:henry_county,henry county
ocd-division/country:us/state:al/county:houston/school_district:dothan_city,dothan city
ocd-division/country:us/state:al/county:houston/school_district:houston_county,houston county
ocd-division/country:us/state:al/county:jackson/school_district:jackson_county,jackson county
ocd-division/country:us/state:al/county:jackson/school_district:scottsboro_city,scottsboro city
ocd-division/country:us/state:al/county:jefferson/school_district:alabama_clinical_school,alabama clinical school
ocd-division/country:us/state:al/county:jefferson/school_district:alabama_school_of_fine_arts,alabama school of fine arts
ocd-division/country:us/state:al/county:jefferson/school_district:bessemer_city,bessemer city
ocd-division/country:us/state:al/county:jefferson/school_district:birmingham_city,birmingham city
ocd-division/country:us/state:al/county:jefferson/school_district:fairfield_city,fairfield city
ocd-division/country:us/state:al/county:jefferson/school_district:glenwood_mental_health_service,glenwood mental health service
ocd-division/country:us/state:al/county:jefferson/school_district:higdon_hill_school,higdon hill school
ocd-division/country:us/state:al/county:jefferson/school_district:homewood_city,homewood city
ocd-division/country:us/state:al/county:jefferson/school_district:hoover_city,hoover city
ocd-division/country:us/state:al/county:jefferson/school_district:jefferson_county,jefferson county
ocd-division/country:us/state:al/county:jefferson/school_district:leeds_city,leeds city
ocd-division/country:us/state:al/county:jefferson/school_district:midfield_city,midfield city
ocd-division/country:us/state:al/county:jefferson/school_district:mountain_brook_city,mountain brook city
ocd-division/country:us/state:al/county:jefferson/school_district:safetynet_academy,safetynet academy
ocd-division/country:us/state:al/county:jefferson/school_district:tarrant_city,tarrant city
ocd-division/country:us/state:al/county:jefferson/school_district:the_rushton_school,the rushton school
ocd-division/country:us/state:al/county:jefferson/school_district:trussville_city,trussville city
ocd-division/country:us/state:al/county:jefferson/school_district:ucp_of_greater_birmingham,ucp of greater birmingham
ocd-division/country:us/state:al/county:jefferson/school_district:vestavia_hills_city,vestavia hills city
ocd-division/country:us/state:al/county:lamar/school_district:lamar_county,lamar county
ocd-division/country:us/state:al/county:lauderdale/school_district:florence_city,florence city
ocd-division/country:us/state:al/county:lauderdale/school_district:lauderdale_county,lauderdale county
ocd-division/country:us/state:al/county:lawrence/school_district:lawrence_county,lawrence county
ocd-division/country:us/state:al/county:lee/school_district:auburn_city,auburn city
ocd-division/country:us/state:al/county:lee/school_district:lee_county,lee county
ocd-division/country:us/state:al/county:lee/school_district:opelika_city,opelika city
ocd-division/country:us/state:al/county:limestone/school_district:athens_city,athens city
ocd-division/country:us/state:al/county:limestone/school_district:limestone_county,limestone county
ocd-division/country:us/state:al/county:lowndes/school_district:lowndes_county,lowndes county
ocd-division/country:us/state:al/county:macon/school_district:macon_county,macon county
ocd-division/country:us/state:al/county:macon/school_district:three_springs_new_tuskegee,three springs new tuskegee
ocd-division/country:us/state:al/county:madison/school_district:huntsville_city,huntsville city
