ocd-division/country:us/territory:gu/municipality:asan-maina,Asan/Maina
ocd-division/country:us/territory:gu/municipality:mongmong-toto-maite,Mongmong-Toto-Maite
ocd-division/country:us/territory:gu/municipality:chalan_pago-ordot,Chalan Pago-Ordot
ocd-division/country:us/territory:gu/municipality:yigo,Yigo
ocd-division/country:us/territory:gu/municipality:agana_heights,Agana Heights
ocd-division/country:us/territory:gu/municipality:agat,Agat
ocd-division/country:us/territory:gu/municipality:barrigada,Barrigada
ocd-division/country:us/territory:gu/municipality:dededo,Dededo
ocd-division/country:us/territory:gu/municipality:hagåtña,Hagåtña
ocd-division/country:us/territory:gu/municipality:inarajan,Inarajan
ocd-division/country:us/territory:gu/municipality:mangilao,Mangilao
ocd-division/country:us/territory:gu/municipality:merizo,Merizo
ocd-division/country:us/territory:gu/municipality:piti,Piti
ocd-division/country:us/territory:gu/municipality:santa_rita,Santa Rita
ocd-division/country:us/territory:gu/municipality:sinajana,Sinajana
ocd-division/country:us/territory:gu/municipality:talofofo,Talofofo
ocd-division/country:us/territory:gu/municipality:tamuning,Tamuning
ocd-division/country:us/territory:gu/municipality:umatac,Umatac
ocd-division/country:us/territory:gu/municipality:yona,Yona
ocd-division/country:us/territory:mp/municipality:rota,Rota
ocd-division/country:us/territory:mp/municipality:tinian,Tinian
ocd-division/country:us/territory:mp/municipality:saipan,Saipan
