id,name
ocd-division/country:uy/department:uy-ar,Artigas
ocd-division/country:uy/department:uy-ca,Canelones
ocd-division/country:uy/department:uy-cl,Cerro Largo
ocd-division/country:uy/department:uy-co,Colonia
ocd-division/country:uy/department:uy-du,Durazno
ocd-division/country:uy/department:uy-fd,Florida
ocd-division/country:uy/department:uy-fs,Flores
ocd-division/country:uy/department:uy-la,Lavalleja
ocd-division/country:uy/department:uy-ma,Maldonado
ocd-division/country:uy/department:uy-mo,Montevideo
ocd-division/country:uy/department:uy-pa,Paysandú
ocd-division/country:uy/department:uy-rn,Rio Negro
ocd-division/country:uy/department:uy-ro,Rocha
ocd-division/country:uy/department:uy-rv,Rivera
ocd-division/country:uy/department:uy-sa,Salto
ocd-division/country:uy/department:uy-sj,San José
ocd-division/country:uy/department:uy-so,Soriano
ocd-division/country:uy/department:uy-ta,Tacuarembó
ocd-division/country:uy/department:uy-tt,Treinta y Tres
