ocd-division/country:ca/province:nl,N.L.
ocd-division/country:ca/province:pe,P.E.I.
ocd-division/country:ca/province:ns,N.S.
ocd-division/country:ca/province:nb,N.B.
ocd-division/country:ca/province:qc,Que.
ocd-division/country:ca/province:on,Ont.
ocd-division/country:ca/province:mb,Man.
ocd-division/country:ca/province:sk,Sask.
ocd-division/country:ca/province:ab,Alta.
ocd-division/country:ca/province:bc,B.C.
ocd-division/country:ca/territory:yt,Y.T.
ocd-division/country:ca/territory:nt,N.W.T.
ocd-division/country:ca/territory:nu,Nvt.
