ocd-division/country:ca/province:mb/ped:agassiz,Agassiz
ocd-division/country:ca/province:mb/ped:arthur-virden,Arthur-Virden
ocd-division/country:ca/province:mb/ped:assiniboia,Assiniboia
ocd-division/country:ca/province:mb/ped:brandon-est,Brandon-Est
ocd-division/country:ca/province:mb/ped:brandon-ouest,Brandon-Ouest
ocd-division/country:ca/province:mb/ped:burrows,Burrows
ocd-division/country:ca/province:mb/ped:charleswood,Charleswood
ocd-division/country:ca/province:mb/ped:chemin-dawson,Chemin-Dawson
ocd-division/country:ca/province:mb/ped:concordia,Concordia
ocd-division/country:ca/province:mb/ped:dauphin,Dauphin
ocd-division/country:ca/province:mb/ped:elmwood,Elmwood
ocd-division/country:ca/province:mb/ped:emerson,Emerson
ocd-division/country:ca/province:mb/ped:entre-les-lacs,Entre-les-Lacs
ocd-division/country:ca/province:mb/ped:flin_flon,Flin Flon
ocd-division/country:ca/province:mb/ped:fort_garry-riverview,Fort Garry-Riverview
ocd-division/country:ca/province:mb/ped:fort_richmond,Fort Richmond
ocd-division/country:ca/province:mb/ped:fort_rouge,Fort Rouge
ocd-division/country:ca/province:mb/ped:fort_whyte,Fort Whyte
ocd-division/country:ca/province:mb/ped:gimli,Gimli
ocd-division/country:ca/province:mb/ped:kewatinook,Kewatinook
ocd-division/country:ca/province:mb/ped:kildonan,Kildonan
ocd-division/country:ca/province:mb/ped:kirkfield_park,Kirkfield Park
ocd-division/country:ca/province:mb/ped:la_vérendrye,La Vérendrye
ocd-division/country:ca/province:mb/ped:lac-du-bonnet,Lac-du-Bonnet
ocd-division/country:ca/province:mb/ped:lakeside,Lakeside
ocd-division/country:ca/province:mb/ped:le_pas,Le Pas
ocd-division/country:ca/province:mb/ped:logan,Logan
ocd-division/country:ca/province:mb/ped:midland,Midland
ocd-division/country:ca/province:mb/ped:minto,Minto
ocd-division/country:ca/province:mb/ped:mont-riding,Mont-Riding
ocd-division/country:ca/province:mb/ped:morden-winkler,Morden-Winkler
ocd-division/country:ca/province:mb/ped:morris,Morris
ocd-division/country:ca/province:mb/ped:point_douglas,Point Douglas
ocd-division/country:ca/province:mb/ped:portage_la_prairie,Portage la Prairie
ocd-division/country:ca/province:mb/ped:radisson,Radisson
ocd-division/country:ca/province:mb/ped:riel,Riel
ocd-division/country:ca/province:mb/ped:river_east,River East
ocd-division/country:ca/province:mb/ped:river_heights,River Heights
ocd-division/country:ca/province:mb/ped:rivière-seine,Rivière-Seine
ocd-division/country:ca/province:mb/ped:rossmere,Rossmere
ocd-division/country:ca/province:mb/ped:saint-boniface,Saint-Boniface
ocd-division/country:ca/province:mb/ped:saint-norbert,Saint-Norbert
ocd-division/country:ca/province:mb/ped:saint-vital,Saint-Vital
ocd-division/country:ca/province:mb/ped:selkirk,Selkirk
ocd-division/country:ca/province:mb/ped:southdale,Southdale
ocd-division/country:ca/province:mb/ped:spruce_woods,Spruce Woods
ocd-division/country:ca/province:mb/ped:st._james,St. James
ocd-division/country:ca/province:mb/ped:st._johns,St. Johns
ocd-division/country:ca/province:mb/ped:st._paul,St. Paul
ocd-division/country:ca/province:mb/ped:steinbach,Steinbach
ocd-division/country:ca/province:mb/ped:swan_river,Swan River
ocd-division/country:ca/province:mb/ped:the_maples,The Maples
ocd-division/country:ca/province:mb/ped:thompson,Thompson
ocd-division/country:ca/province:mb/ped:transcona,Transcona
ocd-division/country:ca/province:mb/ped:tuxedo,Tuxedo
ocd-division/country:ca/province:mb/ped:tyndall_park,Tyndall Park
ocd-division/country:ca/province:mb/ped:wolseley,Wolseley
