constituency,district
Araria,Araria
Forbesganj,Araria
Jokihat,Araria
Narpatganj,Araria
Raniganj,Araria
Sikti,Araria
Arwal,Arwal
Kurtha,Arwal
Aurangabad,Aurangabad
Goh,Aurangabad
Kutumba,Aurangabad
Nabinagar,Aurangabad
Obra,Aurangabad
Rafiganj,Aurangabad
Amarpur,Banka
Banka,Banka
Belhar,Banka
Dhauraiya,Banka
Katoria,Banka
Bachhwara,Begusarai
Bakhri,Begusarai
Begusarai,Begusarai
Cheria Bariarpur,Begusarai
Matihani,Begusarai
Sahebpur Kamal,Begusarai
Teghra,Begusarai
Bhagalpur,Bhagalpur
Bihpur,Bhagalpur
Gopalpur,Bhagalpur
Kahalgaon,Bhagalpur
Nathnagar,Bhagalpur
Pirpainti,Bhagalpur
Sultanganj,Bhagalpur
Agiaon,Bhojpur
Arrah,Bhojpur
Barhara,Bhojpur
Jagdishpur,Bhojpur
Sandesh,Bhojpur
Shahpur,Bhojpur
Tarari,Bhojpur
Brahampur,Buxar
Buxar,Buxar
Dumraon,Buxar
Rajpur,Buxar
Alinagar,Darbhanga
Bahadurpur,Darbhanga
Benipur,Darbhanga
Darbhanga,Darbhanga
Darbhanga Rural,Darbhanga
Gaura Bauram,Darbhanga
Hayaghat,Darbhanga
Jale,Darbhanga
Keoti,Darbhanga
Kusheshwar Asthan,Darbhanga
Atri,Gaya
Barachatti,Gaya
Belaganj,Gaya
Bodh Gaya,Gaya
Gaya Town,Gaya
Gurua,Gaya
Imamganj,Gaya
Sherghati,Gaya
Tikari,Gaya
Wazirganj,Gaya
Baikunthpur,Gopalganj
Barauli,Gopalganj
Bhorey,Gopalganj
Gopalganj,Gopalganj
Hathua,Gopalganj
Kuchaikote,Gopalganj
Ghosi,Jahanabad
Jehanabad,Jahanabad
Makhdumpur,Jahanabad
Chakai,Jamui
Jamui,Jamui
Jhajha,Jamui
Sikandra,Jamui
Bhabua,Kaimur
Chainpur,Kaimur
Mohania,Kaimur
Ramgarh,Kaimur
Balrampur,Katihar
Barari,Katihar
Kadwa,Katihar
Katihar,Katihar
Korha,Katihar
Manihari,Katihar
Pranpur,Katihar
Alauli,Khagaria
Beldaur,Khagaria
Khagaria,Khagaria
Parbatta,Khagaria
Bahadurganj,Kishanganj
Kishanganj,Kishanganj
Kochadhaman,Kishanganj
Thakurganj,Kishanganj
Lakhisarai,Lakhisarai
Surajgarha,Lakhisarai
Alamnagar,Madhepura
Bihariganj,Madhepura
Madhepura,Madhepura
Singheshwar,Madhepura
Babubarhi,Madhubani
Benipatti,Madhubani
Bisfi,Madhubani
Harlakhi,Madhubani
Jhanjharpur,Madhubani
Khajauli,Madhubani
Laukaha,Madhubani
Madhubani,Madhubani
Phulparas,Madhubani
Rajnagar,Madhubani
Jamalpur,Munger
Munger,Munger
Tarapur,Munger
Aurai,Muzaffarpur
Baruraj,Muzaffarpur
Bochaha,Muzaffarpur
Gaighat,Muzaffarpur
Kanti,Muzaffarpur
Kurhani,Muzaffarpur
Minapur,Muzaffarpur
Muzaffarpur,Muzaffarpur
Paroo,Muzaffarpur
Sahebganj,Muzaffarpur
Sakra,Muzaffarpur
Asthawan,Nalanda
Biharsharif,Nalanda
Harnaut,Nalanda
Hilsa,Nalanda
Islampur,Nalanda
Nalanda,Nalanda
Rajgir,Nalanda
Gobindpur,Nawada
Hisua,Nawada
Nawada,Nawada
Rajauli,Nawada
Warsaliganj,Nawada
Bagaha,Paschim Champaran
Bettiah,Paschim Champaran
Chanpatia,Paschim Champaran
Lauriya,Paschim Champaran
Narkatiaganj,Paschim Champaran
Nautan,Paschim Champaran
Ramnagar,Paschim Champaran
Sikta,Paschim Champaran
Valmikinagar,Paschim Champaran
Bakhtiarpur,Patna
Bankipur,Patna
Barh,Patna
Bikram,Patna
Danapur,Patna
Digha,Patna
Fatuha,Patna
Kumhrar,Patna
Maner,Patna
Masaurhi,Patna
Mokama,Patna
Paliganj,Patna
Patna Sahib,Patna
Phulwari,Patna
Amour,Purnia
Baisi,Purnia
Banmankhi,Purnia
Dhamdaha,Purnia
Kasba,Purnia
Purnia,Purnia
Rupauli,Purnia
Chiraiya,Purvi Champaran
Dhaka,Purvi Champaran
Govindganj,Purvi Champaran
Harsidhi,Purvi Champaran
Kalyanpur,Samastipur
Kesaria,Purvi Champaran
Madhuban,Purvi Champaran
Motihari,Purvi Champaran
Narkatia,Purvi Champaran
Pipra,Supaul
Raxaul,Purvi Champaran
Sugauli,Purvi Champaran
Chenari,Rohtas
Dehri,Rohtas
Dinara,Rohtas
