abbreviation,district,headquarters
AR,Araria,Araria
AW,Arwal,Arwal
AU,Aurangabad,Aurangabad
BA,Banka,Banka
BE,Begusarai,Begusarai
BG,Bhagalpur,Bhagalpur
BJ,Bhojpur,Arrah
BU,Buxar,Buxar
DA,Darbhanga,Darbhanga
EC,Purvi Champaran,Motihari
GA,Gaya,Gaya
GO,Gopalganj,Gopalganj
JA,Jamui,Jamui
JE,Jahanabad,Jahanabad
KM,Kaimur,Bhabua
KT,Katihar,Katihar
KH,Khagaria,Khagaria
KI,Kishanganj,Kishanganj
LA,Lakhisarai,Lakhisarai
MP,Madhepura,Madhepura
MB,Madhubani,Madhubani
MG,Munger,Munger
MZ,Muzaffarpur,Muzaffarpur
NL,Nalanda,Bihar Sharif
NW,Nawada,Nawada
PA,Patna,Patna
PU,Purnia,Purnia
RO,Rohtas,Sasaram
SH,Saharsa,Saharsa
SM,Samastipur,Samastipur
SR,Saran,Chhapra
SP,Sheikhpura,Sheikhpura
SO,Sheohar,Sheohar
ST,Sitamarhi,Sitamarhi
SW,Siwan,Siwan
SU,Supaul,Supaul
VA,Vaishali,Hajipur
WC,Paschim Champaran,Bettiah
