constituency,district
Ballimaran,Central Delhi
Burari,Central Delhi
Chandni Chowk,Central Delhi
Karol Bagh,Central Delhi
Matia Mahal,Central Delhi
Sadar Bazar,Central Delhi
Timarpur,Central Delhi
Gandhi Nagar,East Delhi
Kondli,East Delhi
Krishna Nagar,East Delhi
Laxmi Nagar,East Delhi
Patparganj,East Delhi
Trilokpuri,East Delhi
Delhi Cantt,New Delhi
Greater Kailash,New Delhi
New Delhi,New Delhi
Patel Nagar,New Delhi
R K Puram,New Delhi
Rajinder Nagar,New Delhi
Adarsh Nagar,North Delhi
Badli,North Delhi
Bawana,North Delhi
Model Town,North Delhi
Nerela,North Delhi
Rohini,North Delhi
Shakur Basti,North Delhi
Wazirpur,North Delhi
Ghonda,North East Delhi
Gokalpur,North East Delhi
Karawal Nagar,North East Delhi
Mustafabad,North East Delhi
Seelampur,North East Delhi
Kirari,North West Delhi
Mangol Puri,North West Delhi
Mundka,North West Delhi
Rithala,North West Delhi
Shalimar Bagh,North West Delhi
Sultanpur Majra,North West Delhi
Tri Nagar,North West Delhi
Babarpur,Shahdara
Rohtas Nagar,Shahdara
Seema Puri,Shahdara
Shahdara,Shahdara
Vishwas Nagar,Shahdara
Ambedkar Nagar,South Delhi
Chhatarpur,South Delhi
Deoli,South Delhi
Malviya Nagar,South Delhi
Mehrauli,South Delhi
Bijwasan,South West Delhi
Dwarka,South West Delhi
Matiala,South West Delhi
Najafgarh,South West Delhi
Palam,South West Delhi
Uttam Nagar,South West Delhi
Vikaspuri,South West Delhi
Badarpur,South East Delhi
Jangpura,South East Delhi
Kalkaji,South East Delhi
Kasturba Nagar,South East Delhi
Okhla,South East Delhi
Sangam Vihar,South East Delhi
Tughlakabad,South East Delhi
Hari Nagar,West Delhi
Janakpuri,West Delhi
Madipur,West Delhi
Moti Nagar,West Delhi
Nangloi Jat,West Delhi
Rajouri Garden,West Delhi
Tilak Nagar,West Delhi
