constituency,district
Badkhal,Faridabad
Ballabhgarh,Faridabad
Faridabad,Faridabad
Faridabad Nit,Faridabad
Prithla,Faridabad
Tigaon,Faridabad
Ambala Cantt.,Ambala
Ambala City,Ambala
Mulana,Ambala
Naraingarh,Ambala
Bawani Khera,Bhiwani
Bhiwani,Bhiwani
Loharu,Bhiwani
Tosham,Bhiwani
Badhra,Charkhi Dadri
Dadri,Charkhi Dadri
Fatehabad,Fatehabad
Ratia,Fatehabad
Tohana,Fatehabad
Badshahpur,Gurgaon
Gurgaon,Gurgaon
Pataudi,Gurgaon
Sohna,Gurgaon
Adampur,Hisar
Barwala,Hisar
Hansi,Hisar
Hisar,Hisar
Nalwa,Hisar
Narnaund,Hisar
Uklana,Hisar
Badli,Jhajjar
Bahadurgarh,Jhajjar
Beri,Jhajjar
Jhajjar,Jhajjar
Jind,Jind
Julana,Jind
Narwana,Jind
Safidon,Jind
Uchana Kalan,Jind
Guhla,Kaithal
Kaithal,Kaithal
Kalayat,Kaithal
Pundri,Kaithal
Assandh,Karnal
Gharaunda,Karnal
Indri,Karnal
Karnal,Karnal
Nilokheri,Karnal
Ladwa,Kurukshetra
Pehowa,Kurukshetra
Shahbad,Kurukshetra
Thanesar,Kurukshetra
Ateli,Mahendragarh
Mahendragarh,Mahendragarh
Nangal Chaudhry,Mahendragarh
Narnaul,Mahendragarh
Ferozepur Jhirka,Nuh
Nuh,Nuh
Punahana,Nuh
Hathin,Palwal
Hodal,Palwal
Palwal,Palwal
Kalka,Panchkula
Panchkula,Panchkula
Israna,Panipat
Panipat City,Panipat
Panipat Rural,Panipat
Samalkha,Panipat
Bawal,Rewari
Kosli,Rewari
Rewari,Rewari
Garhi Samplakiloi,Rohtak
Kalanaur,Rohtak
Meham,Rohtak
Rohtak,Rohtak
Dabwali,Sirsa
Ellenabad,Sirsa
Kalawali,Sirsa
Rania,Sirsa
Sirsa,Sirsa
Baroda,Sonipat
Ganaur,Sonipat
Gohana,Sonipat
Kharkhauda,Sonipat
Rai,Sonipat
Sonipat,Sonipat
Jagadhri,Yamunanagar
Radaur,Yamunanagar
Sadhaura,Yamunanagar
Yamunanagar,Yamunanagar
