USPS	GEOID	NAME	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                             
AL	01001	State Senate District 1	135057	63753	2248859259	166864511	     868.289	      64.427	 34.857148	 -87.633388                                                                                     
AL	01002	State Senate District 2	179058	75294	1656128423	89467816	     639.435	      34.544	 34.838647	 -86.939762                                                                                      
AL	01003	State Senate District 3	151168	65878	1904398357	100826535	     735.292	      38.929	 34.503417	 -86.835073                                                                                     
AL	01004	State Senate District 4	123291	57243	4237459532	139222320	    1636.092	      53.754	 34.296510	 -87.092417                                                                                     
AL	01005	State Senate District 5	134976	60560	4289566861	118248034	    1656.211	      45.656	 33.694199	 -87.321293                                                                                     
AL	01006	State Senate District 6	117045	55434	8333430144	92713065	    3217.556	      35.797	 34.110655	 -87.847044                                                                                      
AL	01007	State Senate District 7	148905	66014	637289292	3257579	     246.059	       1.258	 34.776496	 -86.557451                                                                                        
AL	01008	State Senate District 8	142128	63231	5327268127	133323911	    2056.870	      51.477	 34.674559	 -85.963310                                                                                     
AL	01009	State Senate District 9	144554	63421	2213365328	157187149	     854.585	      60.690	 34.345844	 -86.357298                                                                                     
AL	01010	State Senate District 10	125075	60094	2400639498	124410077	     926.892	      48.035	 34.110363	 -85.881121                                                                                    
AL	01011	State Senate District 11	125111	59543	4089919997	153314574	    1579.127	      59.195	 33.070711	 -86.151061                                                                                    
AL	01012	State Senate District 12	142431	63483	2669671137	69062861	    1030.766	      26.665	 33.764576	 -86.007592                                                                                     
AL	01013	State Senate District 13	132777	63449	6956101806	77154299	    2685.766	      29.789	 33.283685	 -85.540406                                                                                     
AL	01014	State Senate District 14	168669	68575	3846897119	39150658	    1485.295	      15.116	 32.963684	 -86.867817                                                                                     
AL	01015	State Senate District 15	160461	67290	1712683158	55605386	     661.271	      21.469	 33.361218	 -86.579535                                                                                     
AL	01016	State Senate District 16	149527	67955	242505457	7395745	      93.632	       2.856	 33.403632	 -86.773186                                                                                       
AL	01017	State Senate District 17	157178	64794	2419349924	18893014	     934.116	       7.295	 33.810053	 -86.647789                                                                                     
AL	01018	State Senate District 18	112472	61785	140050796	193114	      54.074	       0.075	 33.472741	 -86.837711                                                                                        
AL	01019	State Senate District 19	109165	49255	283112294	2110773	     109.310	       0.815	 33.482418	 -86.949980                                                                                       
AL	01020	State Senate District 20	107375	48881	195326320	258879	      75.416	       0.100	 33.548678	 -86.844401                                                                                        
AL	01021	State Senate District 21	140682	60210	5153447086	57904935	    1989.757	      22.357	 33.214385	 -87.776712                                                                                     
AL	01022	State Senate District 22	137373	62059	12142590462	211005832	    4688.281	      81.470	 31.397065	 -87.810918                                                                                   
AL	01023	State Senate District 23	111939	53473	13001848362	151719789	    5020.042	      58.579	 32.004719	 -87.191379                                                                                   
AL	01024	State Senate District 24	118832	56774	9296498068	122223937	    3589.398	      47.191	 32.609499	 -87.862319                                                                                    
AL	01025	State Senate District 25	157932	68617	1180744953	34525666	     455.888	      13.330	 32.559915	 -86.195823                                                                                     
AL	01026	State Senate District 26	120666	52268	1838040540	37852514	     709.671	      14.615	 32.203650	 -86.203831                                                                                     
AL	01027	State Senate District 27	139166	66861	2793833568	134889654	    1078.705	      52.081	 32.773899	 -85.648331                                                                                    
AL	01028	State Senate District 28	131368	60366	8759294684	103826392	    3381.983	      40.088	 32.042500	 -85.448435                                                                                    
AL	01029	State Senate District 29	136679	61273	3454976521	19533027	    1333.974	       7.542	 31.152774	 -85.592659                                                                                     
AL	01030	State Senate District 30	139399	60387	6931047432	45873068	    2676.092	      17.712	 31.925043	 -86.379351                                                                                     
AL	01031	State Senate District 31	129622	60569	5415241072	39459746	    2090.836	      15.235	 31.344391	 -86.134236                                                                                     
AL	01032	State Senate District 32	155619	92628	2963853536	1046576110	    1144.350	     404.085	 30.554392	 -87.728272                                                                                   
AL	01033	State Senate District 33	111915	50868	190620040	19928544	      73.599	       7.694	 30.731502	 -88.101673                                                                                      
AL	01034	State Senate District 34	155435	63719	1645471757	152722079	     635.320	      58.966	 30.763429	 -88.280410                                                                                    
AL	01035	State Senate District 35	126686	55849	599256176	869855939	     231.374	     335.853	 30.409305	 -88.155069                                                                                     
AK	0200A	State Senate District A	28984	14095	19235517421	13326328525	    7426.875	    5145.324	 55.880890	-132.367842                                                                                   
AK	0200B	State Senate District B	31275	13055	6997968643	1429575134	    2701.931	     551.962	 58.372700	-134.178781                                                                                     
AK	0200C	State Senate District C	28081	17927	637674027129	52502182520	  246207.329	   20271.207	 65.033029	-154.913209                                                                                  
AK	0200D	State Senate District D	40942	19283	43722953213	167315667	   16881.527	      64.601	 63.952986	-149.372780                                                                                     
AK	0200E	State Senate District E	32697	13581	94555051	2890924	      36.508	       1.116	 64.836367	-147.664834                                                                                          
AK	0200F	State Senate District F	36503	16924	67734682644	2236886142	   26152.508	     863.667	 62.734935	-147.031678                                                                                    
AK	0200G	State Senate District G	47189	17762	396061573	11633866	     152.920	       4.492	 61.645559	-149.306744                                                                                        
AK	0200H	State Senate District H	47533	24771	36781970492	1420053674	   14201.599	     548.286	 62.141293	-150.776454                                                                                    
AK	0200I	State Senate District I	35604	11410	217194410	96822965	      83.859	      37.384	 61.339916	-149.695856                                                                                        
AK	0200J	State Senate District J	36344	13316	12827034	102891	       4.953	       0.040	 61.214315	-149.766881                                                                                           
AK	0200K	State Senate District K	32429	12474	16974149	175004	       6.554	       0.068	 61.194300	-149.785018                                                                                           
AK	0200L	State Senate District L	36313	16034	28051640	4641207	      10.831	       1.792	 61.199170	-149.870488                                                                                          
AK	0200M	State Senate District M	32015	14609	22252993	9028076	       8.592	       3.486	 61.193164	-149.933528                                                                                          
AK	0200N	State Senate District N	36520	13496	75153938	305229933	      29.017	     117.850	 61.164811	-150.177803                                                                                        
AK	0200O	State Senate District O	36303	13820	50021656	0	      19.313	       0.000	 61.148951	-149.803115                                                                                                
AK	0200P	State Senate District P	37696	14938	3476458569	266819660	    1342.268	     103.020	 60.962569	-149.284418                                                                                      
